Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,(530) 257-8113,(530) 251-8127,http://www.lassenlibrary.org/,"4,557.00",Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"13,717","5,537",220,1,0,0,1,"12,000","$88,942 ","$85,719 ",$0 ,"$58,239 ","$232,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$137,454 ","$13,075 ","$150,529 ","$2,783 ",$0 ,"$2,783 ","$1,000 ",$0 ,"$3,783 ","$103,440 ","$257,752 ","$72,294 ",10,0,0.46,3.09,3.55,0.02,"13,554","2,866","42,567","23,079","2,364","7,221","2,312",194,0,0,0,36,846,"23,390",Annual Count,544,Annual Estimate Based on Typical Week(s),"16,401","5,082",79,"3,430",75,"3,505","19,831","19,906",16,8,45,34,11,"1,027",917,110,3,3,0,6,6,0,18,18,0,139,139,0,0,0,66,"1,172",0,0,0,No,"5,344","11,287",360,16,CA0195,19-20
LINCOLN PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,(916) 434-2410,(916) 434-2406,http://www.libraryatlincoln.org,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"49,317","13,512","2,810",1,0,0,1,"40,000","$742,024 ","$56,711 ",$0 ,"$56,000 ","$854,735 ","$345,240 ",$0 ,$0 ,$0 ,"$345,240 ","$301,464 ","$94,411 ","$395,875 ","$55,605 ","$6,222 ","$61,827 ","$54,508 ","$12,068 ","$128,403 ","$274,792 ","$799,070 ","$345,240 ",10,1,1.88,3.98,5.86,3.9,"34,704","6,174","95,413","464,671","10,893","393,818","13,883","41,471",16,3,19,132,"1,147","155,130",Annual Count,"10,116",Annual Estimate Based on Typical Week(s),"142,153","74,734",739,"43,324","2,858","46,182","185,477","188,335",0,0,182,179,3,"5,977","5,849",128,0,0,0,0,0,0,40,28,12,894,661,233,1,100,222,"6,871",28,"1,014",0,No,unavailable,unavailable,"1,583",38,CA0057,19-20
LIVERMORE PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,(925) 373-5500,(925) 373-5505,http://www.livermorelibrary.net,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"91,861","75,643","12,979",1,2,0,3,"59,600","$5,801,715 ","$45,914 ",$0 ,"$55,665 ","$5,903,294 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,517,276 ","$1,997,234 ","$4,514,510 ","$158,809 ","$13,637 ","$172,446 ","$144,941 ","$28,933 ","$346,320 ","$1,042,464 ","$5,903,294 ",$0 ,94,12.5,12.5,22.5,35,5.7,"95,025","6,334","205,078","155,215","5,923","4,205","11,899","24,130",26,3,29,203,"3,959","295,259",Annual Count,"18,937",Annual Count,"460,771","255,160","1,986","79,302","155,922","235,224","540,073","695,995","8,009","6,707",607,607,0,"25,446","25,446",0,35,35,0,884,884,0,360,329,31,"4,579","4,453",126,7,251,"1,002","30,909",51,"2,286",unavailable,No,"54,491","152,981",unavailable,80,CA0058,19-20
LODI PUBLIC LIBRARY,San Joaquin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",49-99 Cooperative Library System,201 W. LOCUST STREET,LODI,95240,2013,(209) 333-5554,(209) 333-5503,library.lodi.gov,12,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,"67,930","30,955","10,348",1,0,0,1,"30,750","$1,448,750 ","$77,888 ",$0 ,$0 ,"$1,526,638 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$419,111 ","$314,019 ","$733,130 ","$66,780 ","$10,750 ","$77,530 ","$15,000 ",$0 ,"$92,530 ","$700,978 ","$1,526,638 ",$0 ,17,1,1.75,12,13.75,2,"26,332","3,268","86,480","8,603","1,787","8,001","5,896",0,9,4,13,173,"2,204","187,000",Annual Estimate Based on Typical Week(s),"8,255",Annual Estimate Based on Typical Week(s),"130,601","74,658","1,787","7,399","7,561","14,960","138,000","145,561","1,905","2,053",268,268,0,"7,345","7,345",0,12,12,0,116,116,0,230,230,0,"9,079","9,079",0,0,0,510,"16,540",0,0,0,Yes,unavailable,unavailable,unavailable,25,CA0059,19-20
LOMPOC PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,501 E. NORTH AVE.,LOMPOC,93436,3404,(805) 875-8787,(805) 875-8778,http://www.cityoflompoc.com/library/,444,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"59,726","14,047","2,892",1,1,1,3,"23,467","$1,388,639 ","$54,924 ","$10,000 ","$32,000 ","$1,485,563 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$699,343 ","$215,822 ","$915,165 ","$70,400 ","$2,965 ","$73,365 ","$11,929 ",$0 ,"$85,294 ","$485,000 ","$1,485,459 ",$0 ,18,4,4,10,14,0.9,"19,452","3,320","42,271","253,063","2,336","20,881","8,767","1,458",2,4,6,56,unavailable,"123,351",Annual Count,"26,848",Annual Count,"207,507","92,040","8,959","35,486","3,213","38,699","242,993","246,206","28,182","20,783",285,,,"6,846",,,28,,,261,,,58,,,816,,,11,581,371,"7,923",17,185,0,Yes,"25,158","38,933","12,662",43,CA0060,19-20
LONG BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 W. BROADWAY,LONG BEACH,90802,4433,(562) 570-6291,(562) 570-7500,http://www.lbpl.org/,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"472,217","326,500","58,992",1,11,0,12,"197,770","$14,274,465 ","$117,625 ",$0 ,"$4,362,313 ","$18,754,403 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,758,998 ","$3,564,942 ","$10,323,940 ","$731,555 ","$51,917 ","$783,472 ","$559,944 ","$67,508 ","$1,410,924 ","$2,737,204 ","$14,472,068 ","$49,580 ",188,45.6,45.6,73.5,119.1,2.6,"261,003","43,761","659,018","33,399","27,718","6,440","29,964","24,194",34,4,38,234,"16,509","727,477",Annual Count,"212,294",Annual Estimate Based on Typical Week(s),"927,635","415,268","31,795","377,584","1,295,683","1,673,267","1,305,219","2,600,902",28,0,"1,885","1,881",4,"39,098","39,050",48,256,239,17,"3,088","2,783",305,781,775,6,"5,792","5,772",20,154,"11,284","2,922","47,978",90,"4,863",138,Yes,"121,560","1,186,444","120,033",321,CA0061,19-20
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,Placer,,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",,6050 LIBRARY DR.,LOOMIS,95650,,(916) 824-2905,(916) 824-2905,https://loomislibrary.org/,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"6,888","1,553",506,1,0,0,1,"4,488","$297,936 ",$0 ,$0 ,$0 ,"$297,936 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$141,026 ","$50,460 ","$191,486 ","$18,465 ",$150 ,"$18,615 ","$6,500 ","$3,470 ","$28,585 ","$74,808 ","$294,879 ",$0 ,4,1,1,2.5,3.5,0.6,"6,124",738,"12,740",19,853,29,"1,231",9,6,0,6,17,"1,224","14,673",Annual Count,"1,680",Annual Count,"21,566","6,777",unavailable,58,379,437,"21,624","22,003",0,0,148,92,56,"1,759","1,618",141,14,14,0,51,51,0,88,82,6,"1,339","1,239",100,0,0,250,"3,149",28,637,"3,812",Yes,467,"6,100",unavailable,17,CA0270,19-20
LOS ANGELES PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,630 W. FIFTH ST.,LOS ANGELES,90071,2097,(213) 228-7515,(213) 228-7272,http://www.lapl.org,464,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"4,010,684","2,546,442","936,593",1,72,0,73,"1,396,361","$191,531,086 ","$462,333 ","$18,750 ","$629,893 ","$192,642,062 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$80,004,615 ","$41,422,532 ","$121,427,147 ","$5,553,214 ","$567,340 ","$6,120,554 ","$9,073,195 ","$1,048,626 ","$16,242,375 ","$54,972,540 ","$192,642,062 ",$0 ,"1,189.00",391,391,622.5,"1,013.50",56,"1,544,129","465,240","5,893,446","557,746","216,936","186,843","242,002","10,189",216,2,218,"5,425","140,874","6,643,442",Annual Count,"2,789,002",Annual Count,"5,891,583","2,356,233","365,583","9,901,799",unavailable,unavailable,"15,793,382",unavailable,"1,807",237,"4,791","3,959",832,"130,140","124,783","5,357","2,685","2,228",457,"30,820","25,514","5,306","9,923","9,216",707,"115,782","108,761","7,021",unavailable,unavailable,"17,399","276,742","1,008","176,937",unavailable,No,"4,933,339","12,348,044","700,890","1,475",CA0063,19-20
LOS GATOS LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 VILLA AVENUE,LOS GATOS,95030,6981,(408) 354-6891,(408) 354-6896,http://library.losgatosca.gov,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"31,439","27,828","8,248",1,0,0,1,"29,240","$2,844,010 ","$10,000 ",$0 ,"$112,000 ","$2,966,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,614,744 ","$441,520 ","$2,056,264 ","$117,500 ","$11,500 ","$129,000 ","$52,900 ","$43,210 ","$225,110 ","$684,635 ","$2,966,009 ",$0 ,37,6,6,11,17,1.5,"37,064","2,210","90,681","444,824","7,142","379,257","9,272","51,404",8,4,12,95,"2,160","177,439",Annual Count,"27,986",Annual Estimate Based on Typical Week(s),"263,320","84,339","1,279","63,262","35,777","99,039","326,582","362,359",0,0,408,324,84,"20,577","14,059","6,518",27,25,2,789,782,7,375,351,24,"2,772","2,183",589,18,"1,116",810,"24,138",89,"1,076",248,No,"21,930","301,430","231,385",48,CA0164,19-20
MADERA COUNTY LIBRARY,Madera,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,121 N. G ST.,MADERA,93637,3511,(559) 675-7871,(559) 675-7871,www.maderalibrary.org,"2,145.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"158,147","21,809","5,303",1,4,0,5,"48,464","$1,641,901 ",$0 ,"$9,250 ","$50,000 ","$1,701,151 ","$59,000 ",$0 ,$0 ,$0 ,"$59,000 ","$825,325 ","$383,731 ","$1,209,056 ","$59,090 ","$5,901 ","$64,991 ","$29,000 ","$10,421 ","$104,412 ","$373,553 ","$1,687,021 ",$0 ,26,3,3,17,20,6,"66,403","8,684","190,272","430,959","6,269","361,373","9,431","38,939",39,1,40,188,"6,201","110,599",Annual Count,"17,778",Annual Estimate Based on Typical Week(s),"153,991","62,096","4,354","10,896","1,152","12,048","164,887","166,039","43,229","24,206",290,230,60,"10,874","8,595","2,279",32,25,7,"1,310",429,881,322,314,8,"5,280","3,480","1,800",19,"2,680",644,"17,464",66,"7,043",unavailable,Yes,"21,933","60,789","4,328",34,CA0064,19-20
MARIN COUNTY FREE LIBRARY,Marin,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,"3501 CIVIC CENTER DR, RM 414",SAN RAFAEL,94903,4189,(415) 473-3220,(415) 473-6058,http://www.marinlibrary.org,520,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"142,424","72,792","11,498",0,10,1,11,"59,517","$17,493,261 ",$0 ,$0 ,"$2,500,080 ","$19,993,341 ","$2,000,000 ",$0 ,$0 ,$0 ,"$2,000,000 ","$7,686,808 ","$3,761,693 ","$11,448,501 ","$339,070 ","$54,170 ","$393,240 ","$272,166 ","$141,925 ","$807,331 ","$6,065,401 ","$18,321,233 ","$396,775 ",108,28,30,72.7,102.7,3.32,"141,510","17,382","348,963","185,625","27,805","12,543","41,487","697,892",57,3,60,720,unavailable,"921,126",Annual Count,"65,900",Annual Count,"861,877","630,579","38,422","333,265","107,969","441,234","1,195,142","1,303,111","51,369","138,576",424,419,5,528,338,190,224,224,0,unavailable,unavailable,0,711,711,0,0,0,0,0,0,"1,359",unavailable,56,"14,026",unavailable,No,"138,513","385,698","235,200",159,CA0065,19-20
MARIPOSA COUNTY LIBRARY,Mariposa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,4978 10TH ST.,MARIPOSA,95338,106,(209) 966-2140,(209) 966-2140,http://www.mariposalibrary.org,"1,456.00",Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"18,067","6,005","1,046",1,4,0,5,"13,774","$720,787 ","$27,932 ",$0 ,"$24,000 ","$772,719 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$361,955 ","$142,787 ","$504,742 ","$60,000 ","$3,000 ","$63,000 ","$15,000 ","$10,000 ","$88,000 ","$18,000 ","$610,742 ",$0 ,22,1,1,2.5,3.5,32,"28,598","4,755","67,993","6,990","5,149","4,866","8,674",0,33,1,34,92,"4,366","81,650",Annual Estimate Based on Typical Week(s),"3,120",Annual Estimate Based on Typical Week(s),"138,378","31,035",342,unavailable,unavailable,unavailable,unavailable,unavailable,572,286,111,,,"1,665",,,50,,,295,,,74,,,"1,110",,,15,unavailable,235,"3,070",0,0,0,Yes,"95,582",unavailable,unavailable,31,CA0192,19-20
MENDOCINO COUNTY LIBRARY,Mendocino,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,880 N. BUSH ST.,UKIAH,95482,3919,(707) 234-2873,(707) 463-4490,https://www.mendolibrary.org,"3,510.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"87,946","53,740","8,257",1,4,1,6,"36,757","$3,689,970 ",$0 ,"$24,304 ","$61,918 ","$3,776,192 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,473,221 ","$854,903 ","$2,328,124 ","$170,542 ","$16,047 ","$186,589 ","$51,530 ","$51,403 ","$289,522 ","$1,158,546 ","$3,776,192 ",$0 ,29.8,7.8,10.8,19,29.8,2.75,"41,441","7,259","134,044","150,444","5,600","33,849","23,178","61,776",10,4,14,169,unavailable,"305,352",Annual Count,unavailable,unavailable,"425,213","126,877","2,392","133,163","3,205","136,368","558,376","561,581","83,609","72,109",710,,,"12,189",,,204,,,"1,289",,,637,,,"6,506",,,100,"2,443","1,551","19,984",unavailable,unavailable,unavailable,No,"27,809","186,853",unavailable,60,CA0066,19-20
MENLO PARK PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,800 ALMA ST.,MENLO PARK,94025,3460,(650) 330-2500,(650) 330-2520,http://menlopark.org/library,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"35,254","24,106","4,325",1,1,0,2,"37,846","$3,615,468 ","$114,750 ",$0 ,"$65,641 ","$3,795,859 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,011,462 ","$793,095 ","$2,804,557 ","$267,889 ","$15,646 ","$283,535 ","$52,624 ","$4,512 ","$340,671 ","$650,531 ","$3,795,759 ",$0 ,48,8.25,8.25,16.75,25,9,"54,902","4,553","111,447","483,789","10,076","414,327","14,921","22,018",47,3,50,93,"4,104","188,663",Annual Count,"13,338",Annual Count,"456,294","225,181","8,979","81,918","6,749","88,667","538,212","544,961","30,938","44,574",258,240,18,"9,236","8,508",728,39,25,14,"1,588",990,598,141,106,35,"2,623","1,710",913,0,0,438,"13,447",45,"1,032",0,No,"16,847","117,463","317,518",22,CA0067,19-20
MERCED COUNTY LIBRARY,Merced,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2100 O ST.,MERCED,95340,3637,(209) 385-7485,(209) 385-7484,http://www.mercedcountylibrary.org,"1,988.52",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"283,521","35,197","9,661",1,11,1,13,"73,551","$3,507,692 ","$321,534 ","$307,577 ","$40,277 ","$4,177,080 ",$0 ,$0 ,$0 ,"$84,618 ","$84,618 ","$1,183,125 ","$1,395,870 ","$2,578,995 ","$165,705 ","$8,899 ","$174,604 ","$49,313 ","$5,515 ","$229,432 ","$579,919 ","$3,388,346 ","$77,259 ",50,5,5,19,24,10,"74,150","9,685","226,106","11,855","4,612",544,"6,091",99,11,4,15,100,unavailable,"221,569",Annual Estimate Based on Typical Week(s),"58,992",Annual Estimate Based on Typical Week(s),"179,811","98,271","8,291","7,061","8,504","15,565","186,872","195,376","34,113","39,329","1,384","1,301",83,"17,726","3,749","13,977",389,370,19,"6,993","6,583",410,299,297,2,"2,103","1,657",446,46,763,"2,072","26,822",104,"14,833",unavailable,Yes,"20,924","215,137","19,786",64,CA0068,19-20
MILL VALLEY PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,375 THROCKMORTON AVE.,MILL VALLEY,94941,2698,(415) 389-4292,(415) 389-4292,http://millvalleylibrary.org,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"14,674","10,415","1,313",1,0,0,1,"27,000","$2,245,289 ","$8,563 ",$0 ,"$204,022 ","$2,457,874 ","$152,700 ",$0 ,$0 ,$0 ,"$152,700 ","$1,203,508 ","$455,366 ","$1,658,874 ","$111,117 ","$17,673 ","$128,790 ","$71,681 ","$11,136 ","$211,607 ","$587,393 ","$2,457,874 ","$152,700 ",46,6.46,7.46,9.32,16.78,3.4,"25,644","2,863","101,542","629,272","6,884","406,668","6,384","47,724",41,1,42,336,"2,141","159,000",Annual Estimate Based on Typical Week(s),"18,155",Annual Count,"167,239","78,650","1,348","40,794","13,999","54,793","208,033","222,032","43,477","30,043",430,429,1,"15,868","15,710",158,50,49,1,859,827,32,378,365,13,"9,022","8,870",152,73,"1,682",858,"25,749",29,"9,318",295,No,"8,840","106,613","73,700",12,CA0069,19-20
MISSION VIEJO LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,100 CIVIC CENTER,MISSION VIEJO,92691,5518,(949) 830-7100,(949) 830-7100,http://www.cmvl.org,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"94,267","173,903","12,802",1,0,0,1,"41,500","$3,177,674 ","$5,314 ","$47,807 ","$355,435 ","$3,586,230 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,652,292 ","$600,618 ","$2,252,910 ","$122,928 ","$8,727 ","$131,655 ","$110,868 ","$22,645 ","$265,168 ","$629,536 ","$3,147,614 ",$0 ,76,12.5,13,23,36,7,"69,996","5,488","139,347","16,445","5,682","4,944","9,381",0,18,3,21,220,"2,140","266,450",Annual Count,"29,221",Annual Count,"758,881","447,237","13,355","88,389","62,725","151,114","847,270","909,995",164,25,300,256,44,"7,703","6,115","1,588",25,25,0,417,417,0,49,43,6,"1,393","1,349",44,19,68,374,"9,513",unavailable,unavailable,unavailable,Yes,"19,588","176,419",unavailable,30,CA0198,19-20
MODOC COUNTY LIBRARY,Modoc,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,212 W. THIRD ST.,ALTURAS,96101,3913,(530) 233-6340,(530) 233-6340,http://modoccountylibrary.org,"4,092.00",Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,"9,570","6,454",696,1,3,0,4,"6,765","$225,000 ","$4,368 ",$0 ,"$66,000 ","$295,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$126,682 ","$42,181 ","$168,863 ","$2,360 ","$1,452 ","$3,812 ",$600 ,$0 ,"$4,412 ","$95,876 ","$269,151 ",$0 ,7,1,1,1.85,2.85,0.05,"16,665","2,016","66,200","17,479","2,464","5,791","4,727",0,2,0,2,41,"1,980","11,625",Annual Estimate Based on Typical Week(s),500,Annual Estimate Based on Typical Week(s),"19,955","2,744",11,"2,016",unavailable,unavailable,"21,971",unavailable,0,0,15,15,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,83,0,0,0,No,"1,873",unavailable,unavailable,15,CA0070,19-20
MONO COUNTY FREE LIBRARY,Mono,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,400 SIERRA PARK RD.,MAMMOTH LAKES,93546,1120,(760) 934-8670,(760) 934-4777,http://www.monocolibraries.org,"3,028.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"13,464","15,720","2,190",0,7,0,7,"25,276","$1,173,450 ",$0 ,$0 ,"$80,380 ","$1,253,830 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$681,298 ","$250,669 ","$931,967 ","$43,339 ","$1,694 ","$45,033 ","$3,437 ",$0 ,"$48,470 ","$230,303 ","$1,210,740 ",$0 ,20,1.75,3.93,5.63,9.56,0.4,"22,856","13,801","118,110","14,132","5,200","5,530","14,810",148,2,3,5,112,"8,166","71,879",Annual Count,605,Annual Count,"63,399","12,327",334,"14,338",unavailable,unavailable,"77,737",unavailable,0,10,824,741,83,"21,157","9,476","11,681",6,6,0,15,15,0,152,148,4,"1,490","1,450",40,unavailable,unavailable,982,"22,662",83,"11,681",unavailable,Yes,"37,684",unavailable,"8,272",50,CA0071,19-20
MONROVIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,321 S. MYRTLE AVE.,MONROVIA,91016,2848,(626) 256-8274,(626) 256-8259,http://www.monroviapubliclibrary.org,14,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,"37,935","74,975","20,953",1,0,1,2,"27,997","$2,513,060 ","$84,191 ",$0 ,"$86,080 ","$2,683,331 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,175,112 ","$286,473 ","$1,461,585 ","$77,018 ","$4,955 ","$81,973 ","$30,388 ","$8,475 ","$120,836 ","$890,730 ","$2,473,151 ",$0 ,29,6.85,8.5,8.75,17.25,3,"28,549","2,635","87,079","24,496","2,195","9,628","1,648",269,8,3,11,39,unavailable,"111,680",Annual Count,"29,190",Annual Count,"154,812","113,205","6,464","15,953","4,483","20,436","170,765","175,248",21,0,138,138,0,"6,998","6,998",0,14,10,4,370,299,71,185,117,68,"2,570","2,102",468,157,"9,181",337,"9,938",113,"15,803",unavailable,No,"16,019","91,562","29,718",38,CA0072,19-20
