Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,(818) 548-2030,(818) 548-2021,http://glendalelac.org,31,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"193,116","291,381","51,293",1,7,0,8,0,"155,862","$14,122,970 ","$166,538 ","$70,000 ","$315,765 ","$14,675,273 ","$3,600,000 ",$0 ,$0 ,$0 ,"$3,600,000 ","$5,377,019 ","$2,622,458 ","$7,999,477 ","$526,767 ","$33,060 ","$559,827 ","$381,180 ","$149,234 ","$1,090,241 ","$2,592,426 ","$11,682,144 ","$139,191 ",127,25.57,25.57,46.76,72.33,25,725,"128,188","10,199","392,396","52,634","23,836",Yes,78,Yes,71,"1,467","470,333",0,"1,097,523","737,944","25,430",61,16,77,"13,058","411,675",Annual Count,"25,476",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"738,941","381,977","42,566","18,790","5,414","1,515","1,496","2,269","142,899","38,556","601,207","639,763","881,840","782,662","1,521,603",Yes,686,"23,098",313,"5,503",124,124,0,"2,125","2,125",0,189,174,15,"3,378","2,971",407,69,12,57,"3,033",97,"2,936",294,155,139,"9,922","6,097","3,825",10,2,8,"4,640",740,"3,900",34,"3,461",79,"2,898",Yes,"37,124",Annual Count,"246,141","320,477",Annual Count,102,Sierra (Innovative),198,"18,876","Grab and go craft kits, coffee and tea experience kits, summer reading challenges & activities, scavenger hunts through library, letter writing, book-based games for children, masking tape floor mazes. ",CA0042,21-22
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3416,(626) 852-4891,(626) 852-4891,http://www.glendoralibrary.org,19,No,Yes,Yes,Yes,Yes,No,No,No,"51,821","25,071","3,574",1,0,0,1,0,"30,000","$2,305,673 ","$25,208 ",$0 ,"$152,032 ","$2,482,913 ","$12,882 ",$0 ,$0 ,$0 ,"$12,882 ","$988,641 ","$247,945 ","$1,236,586 ","$46,864 ","$10,553 ","$57,417 ","$84,242 ","$7,234 ","$148,893 ","$768,686 ","$2,154,165 ",$0 ,31,7.11,7.11,13.14,20.25,27,"1,424.00","22,819","4,146","67,817","7,821","7,202",Yes,0,No,0,6,"82,846",177,"197,904","10,337",212,27,19,46,"2,534","132,926",Annual Count,"23,802",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"150,996","96,216",802,232,65,0,0,8,"35,827","4,604","74,737","79,341","186,823","115,168","266,164",Yes,234,"11,722",162,"4,808",121,121,0,"3,452","3,452",0,41,12,29,"1,356","1,144",212,10,8,2,123,105,18,22,21,1,498,473,25,40,38,2,"6,293","6,279",14,38,757,1,8,No,"7,592",Annual Count,"99,818","1,807,058",Annual Count,14,Polaris (Innovative),97,"4,892","scavenger hunts, story stroll, craft (bagged)",CA0043,21-22
GOLETA VALLEY LIBRARY,Santa Barbara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,500 N. FAIRVIEW AVE.,GOLETA,93117,1797,(805) 964-7878,(805) 964-7878,https://www.cityofgoleta.org/city-hall/goleta-valley-library,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"111,267","24,747","2,769",1,2,1,4,0,"19,205","$1,933,738 ","$30,450 ",$0 ,"$458,281 ","$2,422,469 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,159,100 ","$384,900 ","$1,544,000 ","$212,207 ",$0 ,"$212,207 ","$93,893 ","$198,300 ","$504,400 ","$537,400 ","$2,585,800 ",$0 ,37,3,3,20.13,23.13,646,"3,495.00","44,365","2,678","88,624","8,034","13,728",No,0,Yes,14,"1,539","111,925",45,"21,734","18,241","3,318",0,17,17,"9,481","126,134",Annual Count,"39,312",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"442,238","230,433","13,781","5,395","32,477",0,"47,158",-1,"126,085",779,"5,102","5,881","568,323","131,966","574,204",Yes,748,"30,677",217,"19,555",118,44,74,"13,651","8,987","4,664",99,55,44,"5,904","4,232","1,672",26,22,4,127,115,12,324,216,108,"6,096","1,152","4,944",181,21,160,"4,899","1,773","3,126",2,310,91,"3,035",Yes,-1,Annual Estimate Based on Typical Week(s),"70,913","17,681",Annual Count,35,Koha (Equinox),72,"15,756","Take home craft kits, in-library scavenger hunts, making cards for veterans and seniors at senior center, bookmark contest, 1000 Books Before Kindergarten",CA0271,21-22
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,(831) 624-1366,(831) 624-7323,http://ci.carmel.ca.us/library,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"3,041","10,396","1,973",1,1,0,2,0,"15,282","$948,835 ","$4,954 ",$0 ,"$317,850 ","$1,271,639 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$775,360 ","$173,535 ","$948,895 ","$76,061 ","$3,071 ","$79,132 ","$93,558 ","$11,248 ","$183,938 ","$114,619 ","$1,247,452 ",$0 ,10,4,4,5,9,6,387,"10,767","1,494","40,105","2,968","5,539",No,0,No,0,0,"48,612",74,"709,130","195,178","54,699",32,14,46,"4,816","26,466",Annual Count,"9,602",Annual Count,No,,,,"55,414","18,882",200,0,0,0,0,0,"47,785",824,"1,441","2,265","103,199","50,050","105,464",Yes,49,"4,716",5,302,1,1,0,23,23,0,4,4,0,279,279,0,0,0,0,0,0,0,22,11,11,"2,207","1,660",547,22,11,11,"2,207","1,660",547,8,"1,422",11,752,No,-1,Annual Count,"37,761","5,217",Annual Count,16,Koha (Equinox),35,"1,500","Kids craft bags, kids craft self-directed projects in-house, puzzle table for adults",CA0021,21-22
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,888 C STREET,HAYWARD,94541,5101,(510) 881-7954,(510) 293-8685,hayward-ca.gov/public-library,56,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"160,591","144,459","30,727",1,1,1,3,0,"66,567","$6,401,480 ","$141,553 ","$224,908 ","$126,006 ","$6,893,947 ","$49,404 ","$59,802 ",$0 ,$0 ,"$109,206 ","$3,269,784 ","$1,471,709 ","$4,741,493 ","$180,615 ","$9,549 ","$190,164 ","$170,727 ","$35,990 ","$396,881 ","$1,864,779 ","$7,003,153 ","$109,206 ",48,12.25,12.25,25.55,37.8,170,"5,226.00","61,062","4,672","127,863","8,275","20,509",Yes,229,Yes,120,"1,611","158,258",150,"748,964","584,109","54,589",3,21,24,"3,732","250,000",Annual Estimate Based on Typical Week(s),"10,668",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"282,464","166,454","16,528","2,383","5,112",40,70,204,"67,977","20,187","8,508","28,695","350,441","96,672","379,136",No,"2,116","19,782",367,"10,835",151,45,106,"4,577","2,650","1,927",216,29,187,"6,258","1,172","5,086",30,27,3,263,257,6,"1,568",53,"1,515","2,679",159,"2,520",151,151,0,"6,005","6,005",0,0,0,0,0,No,-1,Annual Count,-1,-1,,64,Sierra (Innovative),"8,700",-1,"Take-home craft kits distributed in the Children's room, storytime kits distributed to families to use during virtual storytime. ",CA0044,21-22
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,(951) 765-2440,(951) 765-2440,www.hemetca.gov/library,27.56,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"89,646","107,579","6,225",1,0,0,1,1,"34,602","$1,525,600 ","$31,378 ",$0 ,"$178,600 ","$1,735,578 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$299,054 ","$299,000 ","$598,054 ","$160,392 ",$0 ,"$160,392 ","$59,827 ","$6,410 ","$226,629 ","$554,646 ","$1,379,329 ",$0 ,8,1,1,6,7,29,"4,730.00","23,810","6,492","85,067","1,496","4,987",No,0,No,0,0,"91,550",0,"109,740","168,742","308,206",5,11,16,808,"36,638",Annual Count,"19,780",Annual Estimate Based on Typical Week(s),Yes,$0.50 ,$0.50 ,$0.50 ,"62,629","27,858","3,584",0,0,0,0,-1,"201,001",308,-1,308,"263,630","201,309","263,938",Yes,22,"4,430",17,"4,178",3,3,0,689,689,0,14,14,0,"3,489","3,489",0,3,3,0,2,2,0,1,1,0,50,50,0,1,1,0,200,200,0,1,280,0,0,Yes,"5,940",Annual Count,-1,"35,987",Annual Count,19,Horizon (SirsiDynix),24,"2,753",7 story walks 2 monthly grab and go craft Monthly coloring activity for children decorated bulletin boards,CA0045,21-22
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,(707) 269-1918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,"3,573.00",No,Yes,Yes,Yes,Yes,No,No,No,"135,168","116,508","11,887",1,10,1,12,0,"83,985","$3,281,483 ","$141,013 ","$100,983 ","$208,061 ","$3,731,540 ",$0 ,$0 ,$0 ,"$30,000 ","$30,000 ","$1,476,743 ","$790,466 ","$2,267,209 ","$110,824 ","$14,728 ","$125,552 ","$14,061 ","$26,225 ","$165,838 ","$1,103,413 ","$3,536,460 ","$30,000 ",31,8,8,19.8,27.8,16,"1,534.00","76,477","9,352","261,748","14,642","16,801",No,0,No,0,117,"293,308",318,"40,887","7,214",0,6,15,21,"13,476",-1,,"17,999",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"307,988","111,075",132,423,592,0,0,17,"104,902","2,281",692,"2,973","412,890","107,875","415,863",Yes,213,"3,316",59,"1,533",38,37,1,792,790,2,21,21,0,741,741,0,8,2,6,28,9,19,141,18,123,"1,485",220,"1,265",5,4,1,270,264,6,29,971,11,177,No,"1,872",Annual Estimate Based on Typical Week(s),"35,265",-1,,45,Sierra (Innovative),51,"3,665","Take-home kits, Beanstack challenges, treasure hunts in the library, StoryWalks, drop-in crafts ",CA0039,21-22
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,(714) 960-8836,(714) 842-4481,http://www.hbpl.org,26,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"196,100","119,073","22,275",1,4,0,5,0,"127,240","$4,610,429 ","$248,859 ","$22,000 ","$414,625 ","$5,295,913 ","$189,116 ",$0 ,$0 ,$0 ,"$189,116 ","$2,704,364 ","$1,092,378 ","$3,796,742 ","$263,121 ","$14,290 ","$277,411 ","$183,468 ","$21,722 ","$482,601 ","$837,562 ","$5,116,905 ","$189,116 ",89,11,11,14,25,326,"23,576.00","103,177","11,235","259,338","10,738","10,706",No,0,Yes,85,59,"280,841",92,"696,863","214,489","54,576",10,16,26,"9,741","432,125",Annual Count,-1,,Yes,$0.25 ,$0.25 ,$0.15 ,"796,882","405,073","7,998",0,0,0,639,211,"116,008","6,991","3,550","10,541","912,890","126,549","923,431",Yes,403,"20,288",274,"17,165",198,198,0,"10,057","10,057",0,76,48,28,"7,108","6,784",324,64,53,11,"1,211",927,284,59,46,13,"1,020",835,185,6,6,0,892,892,0,13,671,48,"3,234",Yes,"23,994",Annual Count,"292,493","54,176",Annual Count,71,Horizon (SirsiDynix),82,"14,861","Take and make kits, story walks, bibliotherapy bags, creativity corner, blind date with a book reviews, teen book boxes, free comic book day.",CA0046,21-22
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,(442) 265-7100,-1,http://www.library.imperialcounty.org,"4,275.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"47,645","5,052","1,688",0,4,0,4,0,"8,055","$417,500 ","$188,595 ","$8,096 ","$96,997 ","$711,188 ",,"$1,000,000 ",,$0 ,"$1,000,000 ","$418,903 ","$130,448 ","$549,351 ","$1,888 ",$57 ,"$1,945 ",,"$1,945 ","$3,890 ","$1,990 ","$555,231 ",-1,14,1,1,10.15,11.15,0,0,"5,303",188,"11,225","1,073","2,186",Yes,0,No,0,207,"14,691",,-1,,,,12,12,"4,680","9,400",Annual Estimate Based on Typical Week(s),-1,Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,"20,873","7,001","1,287",1,0,-1,-1,305,-1,168,-1,168,,168,"21,041",Yes,"1,249","1,550","1,114","1,490",809,800,9,"1,490","1,470",20,305,305,0,0,,0,14,14,0,0,-1,0,80,36,44,,-1,-1,41,41,0,60,60,0,-1,-1,-1,-1,No,-1,Annual Count,-1,-1,Annual Count,18,Apollo (Biblionix),363,363,"Raise a Reader activities correlated to 6 week theme cycle for the year. Accomodated for ages 0 to 18 months, 18 -36 months, and 3-5 years",CA0047,21-22
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. 9TH ST.,IMPERIAL,92251,1213,(760) 355-1332,(760) 355-1332,http://www.cityofimperial.org/public-library,7,Yes,Yes,Yes,Yes,Yes,No,No,No,"21,513","8,456","3,577",1,0,0,1,0,"10,725",,,,,,,,,,,"$183,220 ","$42,635 ","$225,855 ","$19,917 ",$163 ,"$20,080 ","$1,320 ",$0 ,"$21,400 ","$155,450 ","$402,705 ","$25,702 ",9,,,,,2,294,"7,563",11,,,896,Yes,10,Yes,10,31,927,,715,,,,12,12,"2,080",-1,,-1,,Yes,$0.20 ,$0.20 ,$0.20 ,"12,602","9,751",239,0,0,3,3,455,-1,4,-1,4,,4,"12,606",Yes,57,"1,006",40,364,36,34,2,316,300,16,4,4,0,48,48,0,1,1,0,25,25,0,2,1,1,26,9,17,14,14,0,591,591,0,1,254,0,0,Yes,"3,136",Annual Estimate Based on Typical Week(s),-1,700,Annual Estimate Based on Typical Week(s),8,Polaris (Innovative),-1,-1,,CA0048,21-22
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,(310) 412-5397,(310) 412-4280,http://library.cityofinglewood.org,9,Yes,Yes,Yes,No,Yes,Yes,Yes,No,"106,481","102,949","24,368",1,1,0,2,0,"84,900","$4,197,679 ",$0 ,"$24,100 ",$0 ,"$4,221,779 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,420,735 ","$980,380 ","$2,401,115 ","$274,233 ","$69,105 ","$343,338 ","$73,723 ","$5,000 ","$422,061 ","$220,000 ","$3,043,176 ",$0 ,38,8,11,13,24,4,56,"41,409","6,312","130,426",0,"5,158",Yes,43,Yes,43,0,"135,584",88,"742,094","520,893","25,867",19,18,37,"4,524",-1,Annual Count,"1,582",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"23,495","1,290","1,290",0,0,,,,"4,147",481,"4,147","4,628","27,642","8,775","32,270",Yes,139,"3,705",47,"1,572",22,22,0,380,380,0,25,25,0,"1,192","1,192",0,12,12,0,205,205,0,77,77,0,"1,830","1,830",0,3,3,0,98,98,0,8,283,0,0,Yes,-1,Annual Count,-1,"2,940",Annual Estimate Based on Typical Week(s),45,Symphony (SirsiDynix),9,154,Crafting activities and kits,CA0049,21-22
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,(760) 878-0260,(760) 878-0260,https://www.inyocounty.us/services/inyo-county-free-library,"10,091.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"18,978","4,650",710,1,5,0,6,0,"15,793","$692,386 ","$15,600 ","$18,445 ","$2,134 ","$728,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$395,685 ","$172,259 ","$567,944 ","$27,779 ","$6,452 ","$34,231 ","$6,381 ",$0 ,"$40,612 ","$120,008 ","$728,564 ",$0 ,11,0,6.2,1.45,7.65,18,532,"36,895","2,594","138,285","1,811","8,691",No,0,No,0,8,"148,795",138,"195,318","9,830","33,530",8,18,26,"7,136","16,145",Annual Count,"6,377",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,"28,435","10,214",-1,0,0,0,0,0,"7,981","9,236",138,"9,374","36,416","17,355","45,790",Yes,108,924,78,732,17,17,0,182,182,0,61,61,0,550,550,0,30,30,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,94,748,0,0,No,"4,796",Annual Count,-1,"1,746",Annual Count,11,Polaris (Innovative),2,56,Take home kit for one student. Fall 2021 Beanstack Challenge,CA0050,21-22
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,https://www.irwindaleca.gov/121/Library,10,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"1,490","8,143","1,795",1,0,0,1,0,"2,831","$517,346 ",$0 ,$0 ,$588 ,"$517,934 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$316,238 ","$82,661 ","$398,899 ","$12,722 ","$2,870 ","$15,592 ","$6,089 ","$2,984 ","$24,665 ","$51,298 ","$474,862 ",$0 ,14,1,1,6.2,7.2,0,0,"9,463","1,616","16,225",359,"4,370",Yes,8,Yes,14,61,"21,015",57,"17,261","5,811",264,3,15,18,"2,450","15,522",Annual Count,-1,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"22,000","13,720",905,0,3,54,75,32,"1,288",381,-1,381,"23,288","1,669","23,669",Yes,155,"2,749",123,"2,501",41,41,0,241,241,0,82,82,0,"2,260","2,260",0,0,0,0,0,0,0,18,18,0,99,99,0,14,14,0,149,149,0,22,337,1,8,Yes,"3,053",Annual Count,"9,894",-1,,12,VERSO (Auto-Graphics),0,0,N/A,CA0161,21-22
KERN COUNTY LIBRARY,Kern,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,(661) 868-0700,(661) 868-0701,https://kernlibrary.org,"8,141.00",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"889,327","72,481","14,066",1,21,2,24,0,"277,648","$6,449,051 ","$83,196 ","$1,357,624 ","$302,553 ","$8,192,424 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,243,017 ","$1,796,185 ","$5,039,201 ","$286,622 ",$675 ,"$287,297 ","$135,494 ","$84,634 ","$507,425 ","$2,640,798 ","$8,187,424 ",$0 ,141,10,10,82.5,92.5,326,"11,517.26","242,037","38,123","682,444","32,916","21,969",No,0,No,0,109,"737,438",0,"724,520","519,656","24,817",39,20,59,"16,178","489,090",Annual Count,"47,235",Annual Count,Yes,$0.50 ,$0.50 ,$0.50 ,"573,874","337,592","11,233","58,169","58,580",0,0,63,"210,633","17,186","14,394","31,580",,"242,213","816,087",Yes,"4,024","65,710","2,191","36,133",726,723,3,"10,354","10,276",78,"1,465","1,439",26,"25,779","25,470",309,340,315,25,"2,907","2,815",92,829,661,168,"6,720","4,710","2,010",664,656,8,"19,950","19,804",146,86,"5,871",495,"1,131",Yes,"38,034",Annual Count,"1,798,796","76,272",Annual Count,243,Horizon (SirsiDynix),775,"39,795","Coloring workstations, lego clubs, whiteboard posts, board game tables, picture posts to social media, film screenings without discussions, polls, thank a vet cards, crossword take aways, carry out crafts and activities to go, guess how many activities.",CA0051,21-22
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,(559) 852-4005,(559) 852-4003,http://www.kingscountylibrary.org/,"1,396.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"152,023","17,004","2,901",1,6,0,7,0,"55,400","$2,404,792 ","$13,200 ",$0 ,"$76,000 ","$2,493,992 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$995,946 ","$424,135 ","$1,420,081 ","$82,000 ","$4,400 ","$86,400 ","$25,000 ","$5,000 ","$116,400 ","$866,073 ","$2,402,554 ",$0 ,21,4,5,12.51,17.51,43,687.75,"52,073","12,031","165,418","2,840","12,610",Yes,30,Yes,19,19,"180,887",61,"179,445","2,135",0,43,17,60,"11,169","89,538",Annual Count,"6,516",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"118,867","52,529","2,460","25,178","39,153",46,0,0,"8,150",465,313,778,"127,017","8,928","127,795",Yes,170,"7,420",53,"1,622",16,16,0,204,204,0,37,37,0,"1,418","1,418",0,33,32,1,"1,315","1,215",100,10,7,3,"1,165","1,075",90,74,74,0,"3,318","3,318",0,10,"1,845",16,942,Yes,"9,747",Annual Count,"108,593","16,536",Annual Count,52,Horizon (SirsiDynix),25,"2,445","The self-directed activities that occurred within this fiscal year included 3 social media reading challenges using Beanstack (Winter Reading Challege, Spring Winter Challenge & Summer Reading Challenge). Literacy kits for the Out-of-School Time Grant that were given to different apartment complexes were also counted under this. Also included in the count were bags that we gave away during our Summer Reading Program and Winter Open Houses that contain a craft kit that kids can and work on at home. ",CA0053,21-22
