Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,7072691918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,4,Yes,,"3,573.00","136,002","7,396","14,573","21,969","114,033","106,793","20,034",1,2,1,8,4,12,"286,548","14,037",3.5,57,1,8,22,2,19,8,30,"$3,795,384 ","$2,550,522 ","$63,693 ",$83 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,181,086 ","$32,662 ","$3,059,589 ","$195,075 ","$126,021 ","$25,346 ","$30,336 ","$13,372 ","$151,367 ","$1,312,481 ","$644,442 ","$1,956,923 ",$0 ,"$907,591 ","$1,000 ","$37,747 ","$32,662 ","77,756","9,638",500,"1,951","14,902","2,874","14,682",401,"7,516","8,846",6,0,"264,868","3,305",0,6,"3,041","10,544","8,846","177,474","265,368","304,205","487,345","154,076","2,801","24,717","7,761","32,478","512,062","519,823",493,308,"36,309","1,037",847,38,247,"16,149","18,663",629,"10,848",218,"5,301",152,"2,267","$9,339 ",,,,"$5,453 ","$6,997 ","$4,063 ","$5,213 ","$2,727 ","$3,499 ","$3,120 ","$4,004 ","$1,924 ","$2,754 ","$5,732 ","$7,354 ","$1,885 ","$2,824 ",Yes,Yes,No,"80,000",46,"84,663",No,CA0039,17-18
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,7149608836,(714) 842-4481,http://www.hbpl.org,3,No,0.15,26,"202,648","9,681","21,931","31,612","171,036","125,216","11,706",1,0,0,4,1,5,"826,279","11,440",28.59,103,4,11,31.75,23,4.75,10,42.75,"$4,188,725 ","$3,924,541 ","$67,441 ","$9,253 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$187,490 ","$57,441 ","$4,188,725 ","$415,498 ","$210,508 ","$17,190 ","$147,800 ","$40,000 ","$227,698 ","$2,014,910 ","$955,701 ","$2,970,611 ",$0 ,"$802,616 ",$0 ,"$69,500 ","$236,304 ","106,209","9,626",0,627,"10,644","1,431","10,471",153,"9,212","12,289",13,0,"266,176","11,527","4,572",13,"5,883","15,073","12,289","150,341","266,176","299,746","900,216","451,390","8,432","70,248","53,865","124,113","970,464","1,024,329",45,31,"59,072","2,269","1,560",67,812,"68,039","96,371",819,"50,278",741,"17,761",642,"27,520","$12,123 ","$15,021 ","$6,900 ","$8,549 ","$5,940 ","$7,358 ","$5,039 ","$6,242 ","$5,039 ","$6,242 ","$5,039 ","$6,242 ","$4,189 ","$5,190 ","$5,039 ","$6,242 ","$3,519 ","$4,359 ",Yes,Yes,Yes,"75,417",71,-1,Yes,CA0046,17-18
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,4422657100,-1,http://www.co.imperial.ca.us/Library,4,Yes,,"4,275.00","56,321","3,546","7,389","10,935","45,386","7,369","2,681",0,2,0,2,2,4,"38,557","5,950",3,11,2,1,8,3,3,1,9,"$561,780 ","$448,026 ","$26,124 ",$0 ,"$1,836 ",$0 ,$0 ,$0 ,"$1,836 ","$87,630 ","$26,124 ","$623,984 ","$19,433 ","$14,893 ",$0 ,"$1,500 ","$3,040 ","$14,893 ","$310,083 ","$140,027 ","$450,110 ",$754 ,"$154,441 ",$0 ,"$14,000 ","$60,050 ","24,589","2,599",,171,"1,249",428,"1,931",0,"4,827",292,2,0,"67,511",0,0,2,"1,112","4,639",292,"40,323","67,511","70,985","44,139","32,064","4,503",,,,"44,139","44,139",0,0,"2,079",682,290,101,172,"3,451","5,194",176,"1,004",114,"2,447",291,"1,571","$7,690 ","$9,816 ",,,,,,,,,,,"$2,432 ","$3,108 ",,,"$2,145 ","$2,745 ",No,No,No,"10,694",19,"3,811",No,CA0047,17-18
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. 9TH ST.,IMPERIAL,92251,1213,7603551332,(760) 355-1332,http://www.cityofimperial.org/public-library,3,No,0.15 cents,7,"19,372","1,686","3,021","4,707","14,665","6,710","1,620",1,0,0,0,1,1,"26,427","2,504",0.4,7,0,1,3.5,2,1.5,0,4.5,"$257,785 ","$229,800 ","$18,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,985 ","$18,000 ","$214,195 ","$8,236 ","$4,334 ","$1,521 ",$0 ,"$2,381 ","$5,855 ","$151,084 ","$41,723 ","$192,807 ",$0 ,"$13,152 ",$272 ,"$1,239 ","$28,000 ","15,346",-1,0,413,682,205,844,16,"1,553","3,835",1,0,"35,811",623,0,1,844,"1,769","3,835",,"35,811","41,189","24,848","18,438",730,693,0,693,"25,541","25,541",4,24,"1,634",153,60,0,0,"1,845","2,219",28,632,32,"1,213",93,374,"$4,601 ","$4,780 ","$3,131 ","$3,254 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,No,No,Yes,"3,851",11,,No,CA0048,17-18
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,3104125397,(310) 412-5380,http://library.cityofinglewood.org,3,No,.15/black and white .50/Color,9,"113,559","8,044","15,959","24,003","89,556","90,533","14,502",1,1,0,0,2,2,"210,000","4,524",0,44,5,11,10,3,2,11,21,"$4,208,843 ","$4,208,843 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,313,204 ","$431,445 ","$136,745 ","$181,900 ","$88,100 ","$24,700 ","$318,645 ","$2,326,556 ","$1,272,747 ","$3,599,303 ",$0 ,"$282,456 ",$9 ,"$35,000 ","$6,000 ","55,455","6,198","8,002",130,"1,651",715,"4,437",346,"19,010","2,400",41,0,"215,781","7,300",420,41,"4,952","14,991","2,400","154,128","223,783","232,658","120,000","55,000","4,400","13,000","13,500","26,500","133,000","146,500",0,0,"17,732",266,87,54,609,"5,653","7,170",38,417,49,"5,236",125,908,"$9,556 ","$16,518 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,268 ","$6,046 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,608 ","$3,695 ",No,No,Yes,"15,867",46,,Yes,CA0049,17-18
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,7608780359,(760) 878-0260,http://www.countyofinyo.org/library/index.htm,4,Yes,,"10,091.00","18,577","1,052","2,048","3,100","15,477","9,165",-1,1,1,0,4,2,6,"42,432","6,732",0.46,10,0,4.72,2.28,0,2.28,0,7,"$468,527 ","$463,117 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,410 ",$0 ,"$468,527 ","$33,218 ","$23,500 ","$5,718 ","$4,000 ",$0 ,"$29,218 ","$273,458 ","$122,003 ","$395,461 ",$0 ,"$39,848 ",$547 ,"$6,845 ",$0 ,"26,892","2,027",500,63,"1,663",740,"6,410",132,"6,654","124,692",1,0,"120,142","7,515",268,1,"1,796","7,118","124,692","91,223","120,642","253,540","34,307","7,528",,"1,266",,"1,266","35,573","35,573",0,0,"7,140",59,27,0,0,271,567,3,23,24,248,32,296,"$4,787 ","$5,815 ",$0 ,$0 ,"$3,612 ","$4,387 ","$3,363 ","$4,086 ","$3,135 ","$3,814 ",$0 ,$0 ,"$2,860 ","$3,478 ",$0 ,$0 ,"$2,603 ","$3,178 ",Yes,No,No,"10,526",21,,No,CA0050,17-18
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,www.irwindaleca.gov,3,Yes,,10,"1,450",105,270,375,"1,075","5,806","1,504",1,0,0,0,1,1,"22,740","2,316",0,14,2,1,6,3,1,1,7,"$406,242 ","$397,876 ",$0 ,"$4,052 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,314 ",$0 ,"$380,295 ","$40,069 ","$24,009 ","$3,176 ","$6,045 ","$6,839 ","$27,185 ","$250,527 ","$61,525 ","$312,052 ",$0 ,"$28,174 ",$0 ,"$9,957 ",$0 ,"9,540","1,530",0,148,605,856,"3,728",75,"2,493","56,847",0,0,"15,496",0,0,0,923,"2,493","56,847","4,426","15,496","76,751","28,697","12,408",458,"30,304",0,"30,304","59,001","59,001",0,34,"4,400",96,68,7,93,"1,642","1,848",15,123,53,"1,519",21,113,"$6,801 ","$8,267 ",,,,,,,,,,,"$3,242 ","$3,941 ",,,"$2,662 ","$2,846 ",No,No,Yes,"6,009",12,"2,253",No,CA0161,17-18
KERN COUNTY LIBRARY,Kern,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,6618680700,(661) 868-0770,http://kerncountylibrary.org,6,Yes,,"8,141.00","905,801","69,270","144,930","214,200","691,601","131,900","26,248",1,2,3,21,6,27,"1,029,914","36,015",10.15,114,4,9,72.23,55.73,12.5,9,81.23,"$6,891,447 ","$6,378,562 ",$0 ,"$7,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$505,385 ",$0 ,"$6,891,447 ","$524,681 ","$363,510 ","$9,729 ","$99,898 ","$51,544 ","$373,239 ","$3,122,263 ","$1,770,697 ","$4,892,960 ",$0 ,"$1,473,806 ",$0 ,"$69,945 ",$0 ,"253,827","40,675","15,048","3,076","31,929","2,126","28,294",434,"6,255","17,833",25,0,"751,766","2,763",0,25,"13,989","27,517","17,833","457,264","766,814","845,329","907,267","472,430","20,144","153,606","8,437","162,043","1,060,873","1,069,310","84,912","66,431","102,557","9,869","7,638",604,"3,075","106,958","119,833","2,095","19,080","5,543","87,878","1,627","9,800","$8,460 ","$10,329 ","$5,649 ","$6,896 ","$5,649 ","$6,896 ","$4,605 ","$5,621 ","$3,751 ","$4,579 ","$3,942 ","$4,813 ","$2,865 ","$3,498 ","$5,850 ","$7,141 ","$2,199 ","$2,685 ",Yes,Yes,Yes,"214,912",262,"3,236,422",No,CA0051,17-18
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,5598524005,(559) 852-4003,http://www.kingscountylibrary.org/,3,No,0.25,"1,396.00","151,662","11,708","22,815","34,523","117,139","28,583","7,988",1,0,0,6,1,7,"158,063","12,584",28,17.51,2,5,12.51,10.51,0,3,17.51,"$2,203,100 ","$2,088,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$115,000 ",$0 ,"$2,422,231 ","$217,136 ","$115,000 ","$8,000 ","$59,135 ","$35,001 ","$123,000 ","$977,436 ","$343,047 ","$1,320,483 ",$0 ,"$884,612 ",$0 ,"$35,000 ",$0 ,"55,509","11,589",0,206,"2,504","1,572","11,311",165,"3,317","5,010",26,0,"162,877",83,"7,000",26,"4,348","13,135","5,010","95,779","162,877","181,893","203,571","93,766","3,756","4,442",864,"5,306","208,013","208,877","27,536","23,060","6,731",198,182,11,165,"3,724","5,233",81,"1,050",101,"2,674",5,"1,344","$9,000 ","$12,500 ","$5,528 ","$6,758 ",,,"$4,311 ","$5,259 ",,,,,"$2,359 ","$3,515 ","$4,184 ","$5,105 ",,,Yes,Yes,Yes,"41,367",84,"176,329",Yes,CA0053,17-18
LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,7072638817,(707) 263-8817,http://library.lakecountyca.gov,6,Yes,,"1,296.00","65,081","3,677","7,448","11,125","53,956","43,213","3,598",1,0,0,3,1,4,,"6,080",1.32,18,0.5,1,10.45,4.95,5,1,11.45,"$990,257 ","$821,986 ","$45,865 ","$32,847 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$89,559 ","$29,004 ","$1,036,665 ","$75,552 ","$56,440 ","$2,897 ","$14,940 ","$1,275 ","$59,337 ","$405,323 ","$165,975 ","$571,298 ",$0 ,"$389,815 ",$879 ,"$18,011 ","$74,776 ","42,051","4,431",0,589,"4,162","1,393","7,833",45,"3,630","359,976",5,0,"143,211","325,086","14,141",5,"1,998","6,025","359,976","96,729","143,211","515,232","172,591","45,512",633,"15,157","2,869","18,026","187,748","190,617","93,987","42,127","1,199",547,359,21,133,"10,310","11,608",210,"5,449",149,"4,861",167,"1,165","$5,734 ","$6,971 ",,,,,"$3,607 ","$4,385 ",,,"$3,272 ","$3,978 ","$2,501 ","$3,040 ","$2,757 ","$3,352 ","$1,960 ","$2,381 ",Yes,Yes,Yes,"26,732",30,"56,073",No,CA0054,17-18
LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,4159275005,(415) 927-5005,http://www.larkspurlibrary.org,3,No,.15/page,3,"12,351",,,,"12,351","7,152",887,1,0,0,0,1,1,,"2,500",0.25,23,1.75,2.75,4.25,1,1.5,2.75,7,"$835,415 ","$796,157 ","$2,514 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$36,744 ",$0 ,"$835,415 ","$76,935 ","$46,491 ","$4,958 ","$18,145 ","$7,341 ","$51,449 ","$464,031 ","$177,252 ","$641,283 ",$0 ,"$117,197 ",$0 ,"$12,693 ",$0 ,"18,207","1,212",0,501,"1,459",880,"3,682",43,"3,626","134,670",27,0,"45,624","9,021",77,27,"1,136","3,896","134,670","26,205","45,624","185,505","115,366","41,979",71,"15,532","265,892","281,424","130,898","396,790","42,145","20,163","12,125",231,171,0,0,"7,792","10,253",136,"6,445",35,"1,347",60,"2,461","$7,823 ","$7,823 ",,,,,,,"$4,591 ","$5,860 ","$4,936 ","$6,300 ","$3,337 ","$4,259 ","$3,957 ","$5,050 ","$3,104 ","$3,962 ",No,No,No,"3,521",3,"16,608",No,CA0055,17-18
LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,5302578113,(530) 251-8127,http://www.lassenlibrary.org/,4,Yes,,"4,557.00","14,954",770,"1,323","2,093","12,861","4,867",307,1,0,0,0,1,1,"36,614","1,234",0.01,10,1.31,1,2.87,0,1.56,0,3.87,"$241,211 ","$116,026 ","$23,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$102,185 ","$23,000 ","$234,977 ",$543 ,$516 ,$27 ,$0 ,$0 ,$543 ,"$139,473 ","$12,287 ","$151,760 ",$0 ,"$82,674 ",$541 ,$440 ,"$109,337 ","12,929","2,597",86,60,"2,221",104,"1,934",42,"1,191","2,967",0,0,"40,380","2,637",0,0,487,"1,196","2,967","24,854","40,466","47,630","24,081","8,023",665,974,0,974,"25,055","25,055",20,10,780,198,84,0,0,"1,452","2,057",62,"1,335",22,117,114,605,"$1,800 ","$1,600 ","$1,200 ","$1,350 ",,,,,,,,,$811 ,$880 ,"$2,300 ","$2,300 ",,,No,No,No,"8,562",17,"16,000",No,CA0195,17-18
LINCOLN PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,9164342410,(916) 434-2406,http://www.libraryatlincoln.org,2,Yes,,6,"48,591","2,841","6,743","9,584","39,007","14,700","2,743",1,0,0,0,1,1,"238,312","1,581",5.85,11,1.75,1.5,4.33,0,2.58,0,5.83,"$700,218 ","$614,493 ","$46,596 ",$0 ,"$36,000 ",$0 ,$0 ,$0 ,"$36,000 ","$39,129 ","$25,000 ","$602,133 ","$51,073 ","$34,716 ","$5,200 ","$7,534 ","$3,623 ","$39,916 ","$258,243 ","$101,447 ","$359,690 ","$6,000 ","$191,370 ",$0 ,"$14,976 ","$47,865 ","34,503","5,724",0,"1,011","10,219",0,"14,443",145,,"13,207",22,0,"92,182","6,755","1,069",22,"1,447","2,928","13,207","51,955","92,182","130,218","212,058","100,579","1,156","16,570","2,851","19,421","228,628","231,479",0,0,"15,632",268,238,0,0,"8,791","9,500",75,"4,500",163,"4,291",30,709,"$8,088 ","$10,839 ",,,,,,,"$3,688 ","$4,942 ","$4,066 ","$5,449 ","$3,101 ","$4,156 ","$3,799 ","$5,091 ","$2,621 ","$3,512 ",No,No,No,-1,38,,Yes,CA0057,17-18
LIVERMORE PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,9253735500,(925) 373-5505,http://www.livermorelibrary.net,8,Yes,,20,"91,411","5,880","11,869","17,749","73,662","65,065","8,529",1,0,0,2,1,3,"394,442","5,159",8.4,92,2,12.5,24.1,12.1,10,12.5,36.6,"$5,639,115 ","$5,535,992 ","$39,622 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$63,501 ",$0 ,"$5,639,115 ","$371,425 ","$185,129 ","$13,404 ","$130,000 ","$42,892 ","$198,533 ","$2,396,428 ","$1,880,359 ","$4,276,787 ",$0 ,"$990,903 ",$65 ,"$82,649 ","$146,008 ","93,621","6,214",0,982,"5,465","2,194","11,910",202,"8,094","124,190",25,0,"210,259","2,076",0,25,"3,394","13,989","124,190","110,424","210,259","352,051","701,014","404,850","3,244","52,058","102,684","154,742","753,072","855,756","8,961","10,040","30,494","1,442",941,79,"1,715","38,840","46,805",707,"27,544",234,"11,296",422,"6,250","$13,900 ","$17,375 ",,,"$6,701 ","$8,376 ","$5,738 ","$6,975 ","$5,162 ","$6,274 ","$5,738 ","$6,975 ","$4,851 ","$5,896 ","$5,727 ","$6,961 ","$4,249 ","$5,165 ",No,Yes,No,"88,420",80,,No,CA0058,17-18
LODI PUBLIC LIBRARY,San Joaquin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",49-99 Cooperative Library System,201 W. LOCUST STREET,LODI,95240,2013,2093335534,(209) 333-5503,library.lodi.gov,8,Yes,,12,"67,121","4,676","9,951","14,627","52,494","63,631","9,214",1,0,0,0,1,1,"225,558","3,016",2,20,2,0.75,12,5,5,0,12.75,"$1,419,319 ","$1,369,700 ","$34,619 ","$15,000 ","$477,035 ",$0 ,$0 ,"$360,000 ","$837,035 ",$0 ,"$34,619 ","$1,384,655 ","$103,500 ","$77,000 ","$8,500 ","$12,000 ","$6,000 ","$85,500 ","$523,256 ","$262,582 ","$785,838 ","$837,035 ","$495,317 ",$0 ,"$16,032 ","$74,510 ","41,776","3,947",0,263,"2,099","1,000","5,897",183,"3,651","8,125",5,0,"115,222","8,693",0,5,"1,044","4,038","8,125","69,499","115,222","131,531","162,769","86,322","2,215","6,765","3,694","10,459","169,534","173,228","1,842","1,361","9,852",682,329,13,215,"9,800","23,643",104,"4,200",225,"5,600",340,"13,628","$8,574 ","$8,574 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,653 ","$4,441 ","$4,039 ","$4,909 ","$2,888 ","$3,511 ",No,No,Yes,"25,825",25,"60,039",No,CA0059,17-18
LOMPOC PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,501 E. NORTH AVE.,LOMPOC,93436,3404,8058758787,(805) 875-8778,http://www.cityoflompoc.com/library/,3,Yes,,444,"59,675","4,366","7,944","12,310","47,365","15,521","3,275",1,1,1,0,3,3,"202,149","4,544",1.6,18,3,4,10,2,5,4,14,"$1,460,689 ","$1,412,442 ","$25,191 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$23,056 ","$25,191 ","$1,463,164 ","$99,530 ","$65,530 ","$2,045 ","$31,955 ",$0 ,"$67,575 ","$635,667 ","$317,967 ","$953,634 ",$0 ,"$410,000 ",$0 ,"$31,741 ","$42,591 ","21,222","3,503",0,539,"4,428","3,232","12,547",59,"15,104","200,324",2,0,"55,941","16,971","1,511",2,"3,116","4,601","200,324","31,216","55,941","273,301","304,776","125,962","5,264","31,146","1,166","32,312","335,922","337,088","33,961","25,212","28,909",684,572,25,403,"16,420","17,780",252,"5,881",320,"10,539",87,957,"$7,834 ","$10,554 ",,,"$4,776 ","$5,778 ",,,"$4,472 ","$5,408 ",,,"$3,818 ","$4,614 ","$4,077 ","$4,928 ",,,Yes,Yes,Yes,"48,112",43,,Yes,CA0060,17-18
LONG BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 PACIFIC AVE.,LONG BEACH,90822,1097,5625706291,(562) 570-7500,http://www.lbpl.org/,4,Yes,,50,"478,561","33,495","59,401","92,896","385,665","233,316","52,545",1,11,0,0,12,12,"947,065","21,748",3.3,178,1,39.84,85.77,84.77,0,39.84,125.61,"$14,654,402 ","$13,937,255 ",$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$712,147 ",$0 ,"$14,360,745 ","$1,327,246 ","$845,860 ","$67,521 ","$325,382 ","$88,483 ","$913,381 ","$7,083,407 ","$3,508,532 ","$10,591,939 ","$112,663 ","$2,441,560 ","$76,136 ","$289,365 ",$0 ,"274,390","49,889","10,223","3,628","32,249","3,966","31,726",600,"21,313","11,010",24,0,"791,306","5,117",0,24,"21,005","59,123","11,010","467,027","801,529","877,138","1,153,402","467,218","24,619","148,619","1,578,322","1,726,941","1,302,021","2,880,343","1,416",50,"298,120","3,969","2,279",469,"6,509","86,653","104,709","1,289","33,714",990,"52,939","1,221","11,547","$17,435 ","$17,784 ","$10,711 ","$10,926 ","$10,422 ","$10,422 ","$7,641 ","$7,790 ","$6,254 ","$6,497 ",$0 ,$0 ,$0 ,$0 ,"$9,243 ","$9,280 ","$3,991 ","$4,049 ",Yes,Yes,Yes,"225,983",333,"1,200,568",Yes,CA0061,17-18
