Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,(415) 927-5005,(415) 927-5005,http://www.larkspurlibrary.org,3,No,.15/page,3,"12,572",,,,"12,572","7,123",906,1,0,0,0,1,1,-1,"2,500",0.25,21,1.88,2.75,4.86,1.1,1.88,2.75,7.61,"$875,996 ","$814,332 ","$24,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$37,664 ",,"$840,454 ","$76,502 ","$41,334 ","$4,634 ","$25,189 ","$5,345 ","$45,968 ","$430,768 ","$179,849 ","$610,617 ",$0 ,"$153,335 ",$0 ,"$10,781 ",$0 ,"11,297","1,097",0,280,"1,241",434,"2,841",49,"8,014","86,379",30,"44,401","7,211",176,30,"1,645","8,263","86,379","32,007","44,401","134,941","40,805",74,"11,476","130,413","22,786","16,992","13,456",0,167,6,44,"5,647",0,125,"4,321",42,"1,326",31,627,"$7,083 ","$7,083 ",,,,,,,"$4,453 ","$5,684 ","$4,788 ","$6,111 ","$3,237 ","$4,131 ","$3,838 ","$4,898 ","$3,011 ","$3,843 ",No,No,No,"4,116",3,"27,112",No,CA0055,16-17
LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,(530) 257-8113,(530) 251-8127,http://www.lassenlibrary.org/,4,Yes,,"4,557.00","15,046",770,"1,323","2,093","12,953","4,666",125,1,0,0,0,1,1,"36,758","1,144",0.06,9,0.63,1,2.63,0,2,0,3.63,"$233,045 ","$117,138 ","$23,000 ",$0 ,"$4,000 ",$0 ,$0 ,$0 ,"$4,000 ","$92,907 ","$23,000 ","$192,493 ",$595 ,$529 ,$66 ,$0 ,$0 ,$595 ,"$105,941 ","$9,790 ","$115,731 ",$0 ,"$76,167 ",$374 ,$564 ,"$74,959 ","12,509","2,832",78,6,"2,324",108,"2,223",43,861,"2,881",0,"42,847","2,561",0,0,313,872,"2,881","27,506","42,925","50,396","8,427",0,"1,508","28,823",19,4,624,297,115,6,47,"2,488","2,892",81,"1,296",34,"1,192",61,357,"$1,500 ","$1,800 ","$1,100 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$770 ,$810 ,,,,,Yes,No,No,"14,768",17,"14,954",No,CA0195,16-17
LINCOLN PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,(916) 434-2410,(916) 434-2406,http://www.libraryatlincoln.org,2,Yes,,6,"48,165","3,061","6,810","9,871","38,294","45,918",0,1,0,0,0,1,1,"226,954","1,581",6,11,1.75,1.55,4.03,0,2.28,0,5.58,"$567,557 ","$536,754 ","$25,000 ",$0 ,$0 ,$0 ,$0 ,"$23,370 ","$23,370 ","$5,803 ","$25,000 ","$567,557 ","$65,841 ","$45,841 ",$0 ,$0 ,"$20,000 ","$45,841 ","$259,701 ","$63,753 ","$323,454 ","$33,294 ","$178,262 ",$0 ,($1),"$57,503 ","42,709","7,424",0,"1,008","10,111",0,"13,960",155,,"5,825",22,"108,017","3,250",144,22,"1,014",,"5,825","57,884","108,017","138,090","81,564","1,061","8,800","221,858",0,0,,222,216,0,0,"8,656","8,684",76,"5,852",140,"2,804",6,28,"$4,632 ","$6,207 ",,,,,,,"$3,688 ","$4,942 ","$4,066 ","$5,449 ","$3,101 ","$4,156 ","$3,799 ","$5,091 ","$2,621 ","$3,512 ",No,No,No,-1,38,"42,796",Yes,CA0057,16-17
LIVERMORE PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,(925) 373-5500,(925) 373-5505,http://www.livermorelibrary.net,8,Yes,,20,"89,648","6,266","12,434","18,700","70,948","61,735","8,688",1,0,0,2,3,3,"382,234","5,159",8.7,87,2,12.5,23.65,12.25,9.4,12.5,36.15,"$5,287,778 ","$5,218,799 ","$37,922 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$31,057 ","$37,922 ","$5,287,778 ","$332,289 ","$176,884 ","$13,242 ","$110,000 ","$32,163 ","$190,126 ","$2,232,668 ","$1,756,021 ","$3,988,689 ",$0 ,"$966,800 ",$357 ,"$77,236 ","$137,988 ","95,292","6,151",0,941,"5,479","2,119","10,971",202,"7,963","29,977",30,"217,296","1,530",0,30,"3,765","15,567","29,977","115,853","217,296","263,955","379,721","4,325","43,882","762,304","7,251","9,735","31,001","1,951",797,82,"1,975","34,402","41,676",607,"24,908",190,"9,494",275,"5,299","$13,301 ","$16,626 ",,,"$6,474 ","$8,092 ","$5,571 ","$6,771 ","$5,011 ","$6,091 ","$5,571 ","$6,771 ","$4,709 ","$5,724 ","$5,560 ","$6,758 ","$4,125 ","$5,014 ",No,No,No,"103,561",80,"599,079",No,CA0058,16-17
LODI PUBLIC LIBRARY,San Joaquin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",49-99 Cooperative Library System,201 W. LOCUST STREET,LODI,95240,2013,(209) 333-5534,(209) 333-5503,library.lodi.gov,8,Yes,,12,"64,058","5,060","12,747","17,807","46,251","62,780","8,579",1,0,0,0,1,1,"252,592","3,100",2,26,2,0.75,12,5,5,0,12.75,"$1,755,619 ","$1,721,000 ","$34,619 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$34,619 ","$1,721,000 ","$104,000 ","$80,000 ","$8,100 ","$14,000 ","$1,900 ","$88,100 ","$543,796 ","$281,198 ","$824,994 ",$0 ,"$792,006 ",$0 ,"$17,942 ",$0 ,"43,969","4,068",0,227,"1,806",524,"4,266",141,"3,958","7,449",5,"115,424","8,304",0,5,"1,307","4,781","7,449","67,387","115,424","129,091","98,453","3,098","5,407","199,305","1,046",499,"9,555",323,-2,-1,-1,-2,"11,919",-1,-1,-1,-1,328,"11,922","$8,574 ","$8,574 ",,,,,,,"$4,402 ","$5,350 ","$4,841 ","$5,885 ","$3,653 ","$4,441 ","$4,039 ","$4,914 ","$2,888 ","$3,511 ",No,No,Yes,"31,205",25,,No,CA0059,16-17
LOMPOC PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,501 E. NORTH AVE.,LOMPOC,93436,3404,(805) 875-8787,(805) 875-8778,http://www.cityoflompoc.com/library/,5,Yes,,444,"60,251","4,125","6,972","11,097","49,154","15,945","3,376",1,0,1,1,2,3,"249,658","4,544",1.5,18,3,4,10,2,5,4,14,"$1,264,157 ","$1,190,381 ","$27,356 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$46,420 ","$27,356 ","$1,274,790 ","$79,880 ","$56,046 ","$2,880 ","$19,236 ","$1,718 ","$58,926 ","$681,470 ","$272,940 ","$954,410 ",$0 ,"$240,500 ",$0 ,"$12,010 ","$44,756 ","20,874","3,298",0,541,"4,407","2,734","11,688",59,"14,218","92,359",4,"58,371","13,730",829,4,"1,730","4,610","92,359","34,199","58,371","166,888","133,680","6,568","27,908","354,496","36,497","24,162","25,749","1,215",542,33,379,"13,232","14,634",231,"5,441",311,"7,791",98,"1,023","$7,834 ","$10,554 ",,,"$4,776 ","$5,778 ",,,"$4,472 ","$5,408 ",,,"$3,818 ","$4,614 ","$4,077 ","$4,928 ",,,Yes,Yes,Yes,"52,139",43,,Yes,CA0060,16-17
LONG BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 PACIFIC AVE.,LONG BEACH,90822,1097,(562) 570-6291,(562) 570-7500,http://www.lbpl.org/,4,Yes,,50,"480,173","32,474","62,169","94,643","385,530","285,035","47,934",1,11,0,0,12,12,"1,051,175","21,800",6.2,177,1,39.01,86.38,85.38,0,39.01,125.39,"$14,301,461 ","$13,402,076 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$899,385 ",,"$14,301,460 ","$1,407,985 ","$834,925 ","$63,882 ","$427,478 ","$81,700 ","$898,807 ","$6,037,484 ","$4,087,309 ","$10,124,793 ","$59,640 ","$2,768,682 ","$28,980 ","$310,892 ",$0 ,"265,057","50,198","11,949","5,986","28,700","3,847","29,323",645,"25,452","13,483",25,"674,900","4,859",0,25,"23,320","65,964","13,483","359,645","686,849","759,025","607,461","27,204","131,748","1,335,826",322,60,"407,172","6,910","2,576",486,"6,514","60,983","80,914","1,372","32,478","1,204","28,505","1,272","13,417","$16,270 ","$17,435 ","$10,296 ","$10,711 ","$10,017 ","$10,422 ","$7,333 ","$7,611 ","$6,436 ","$6,327 ",$0 ,$0 ,$0 ,$0 ,"$8,885 ","$9,243 ","$3,919 ","$4,043 ",Yes,Yes,Yes,"255,146",333,"672,854",Yes,CA0061,16-17
LOS ANGELES PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,630 W. FIFTH ST.,LOS ANGELES,90071,2097,(213) 228-7515,(213) 228-7272,http://www.lapl.org,4,No,0.25,464,"4,041,707","266,753","569,767","836,520","3,205,187","1,665,288","580,975",1,72,0,0,73,73,"13,145,751","192,842",79,"1,267.00",0,369,595,538,57,369,964,"$159,124,367 ","$157,909,299 ","$202,675 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,007,393 ","$172,675 ","$156,390,469 ","$10,559,103 ","$3,374,389 ","$617,269 ","$5,103,939 ","$1,463,506 ","$3,991,658 ","$65,703,246 ","$24,538,596 ","$90,241,842 ",$0 ,"$55,589,524 ","$10,976 ","$1,431,150 ","$1,234,181 ","1,539,748","446,680",0,"27,900","241,957","69,196","373,864","5,720","128,331","229,011",167,"5,885,167","45,393","7,632",167,"118,388","142,380","229,011","3,898,739","5,885,167","6,735,886","4,106,341","558,410","5,891,144","16,276,897","1,555",144,"2,619,121","21,841","7,470","3,010","40,152","221,333","401,294","2,712","102,279","4,758","119,054","11,361","139,809","$19,507 ","$19,507 ","$11,747 ","$16,711 ","$10,256 ","$14,594 ","$6,111 ","$8,695 ","$5,196 ","$6,283 ","$5,178 ","$7,367 ","$4,552 ","$6,476 ",$0 ,$0 ,"$3,132 ","$4,456 ",Yes,Yes,No,"7,061,251","1,494","18,262,176",Yes,CA0063,16-17
LOS GATOS LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 VILLA AVENUE,LOS GATOS,95030,6981,(408) 354-6891,(408) 354-6896,http://library.losgatosca.gov,0,No,0.15,14,"31,314","1,376","3,906","5,282","26,032","32,881","2,888",1,0,0,0,1,1,"303,896","2,646",2.9,34,2,5.5,10,5,3,5.5,15.5,"$2,657,348 ","$2,619,848 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$37,500 ",,"$2,672,192 ","$215,592 ","$76,040 ","$11,151 ","$81,504 ","$46,897 ","$87,191 ","$1,226,225 ","$525,525 ","$1,751,750 ",$0 ,"$704,850 ",$0 ,"$66,554 ",$0 ,"35,827","2,247",,"1,621","6,144","3,082","6,273",143,"86,481","244,711",38,"148,166","44,850","18,797",38,"15,460","57,978","244,711","110,092","148,166","405,475","170,532",740,"31,834","489,321",0,0,"34,796",737,292,25,"1,206","21,606","24,388",194,"19,140",98,"2,466",128,"1,576","$8,311 ","$12,869 ",,,"$5,402 ","$8,311 ",,,"$5,692 ","$7,365 ",,,"$5,366 ","$6,951 ",,,"$4,065 ","$5,288 ",No,No,No,"40,238",42,"816,415",Yes,CA0164,16-17
MADERA COUNTY LIBRARY,Madera,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,121 N. G ST.,MADERA,93637,3592,(559) 675-7871,(559) 675-7871,http://www.maderacountylibrary.org,4,Yes,,"2,145.00","156,492",,,,"156,492","29,192","4,923",1,4,0,0,5,5,"174,357","7,656",-1,24,0,2,17.25,17.25,0,2,19.25,"$1,368,270 ","$1,368,270 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$1,368,270 ","$58,192 ","$49,408 ","$1,792 ","$4,383 ","$2,609 ","$51,200 ","$688,000 ","$280,184 ","$968,184 ",$0 ,"$341,894 ",$850 ,"$20,979 ",$0 ,"78,259","9,686",225,922,"7,990","1,857","9,723",147,"3,967","3,389",31,"219,836",0,0,31,"3,498","6,610","3,389","131,891","220,061","241,341","72,654","1,741","3,389","188,679","36,445","18,257","21,566",543,236,16,575,"5,412","6,420",182,"2,515",54,"2,897",55,433,"$8,923 ","$10,846 ",,,,,,,"$3,429 ","$4,163 ","$3,977 ","$4,835 ","$3,146 ","$3,824 ",,,"$2,208 ","$2,684 ",No,Yes,No,"22,527",26,"165,472",No,CA0064,16-17
MARIN COUNTY FREE LIBRARY,Marin,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,"3501 CIVIC CENTER DR, RM 414",SAN RAFAEL,94903,4189,(415) 473-3220,(415) 473-6058,http://www.marinlibrary.org,4,Yes,,520,"143,336",,,,"143,336","76,931","13,016",0,5,1,5,10,11,"1,083,910","22,965",6.34,129,3.2,32.61,63.24,6.5,53.54,32.61,95.85,"$15,436,429 ","$15,054,507 ",$0 ,$0 ,"$450,000 ",$0 ,$0 ,$0 ,"$450,000 ","$381,922 ",,"$15,530,838 ","$1,018,776 ","$592,000 ","$75,219 ","$85,059 ","$266,498 ","$667,219 ","$7,118,822 ","$3,948,815 ","$11,067,637 ",$0 ,"$3,444,425 ","$9,000 ","$292,928 ","$122,022 ","158,651","14,164",158,"5,107","24,145","9,938","47,859",365,,"220,352",52,"346,883","352,195","14,785",52,"14,475","37,239","220,352","174,068","347,041","639,814","753,684","18,745","142,000","1,859,322","86,744","148,752","76,274","3,395","1,128",225,"2,559","38,526","54,609",683,"24,170",445,"14,356",914,"13,524","$13,787 ","$15,198 ","$9,131 ","$11,104 ","$8,531 ","$10,221 ","$7,400 ","$8,805 ","$5,714 ","$6,816 ","$5,094 ","$6,071 ","$4,056 ","$4,925 ","$7,591 ","$9,176 ","$3,113 ","$4,827 ",Yes,No,No,"207,199",159,"827,896",No,CA0065,16-17
MARIPOSA COUNTY LIBRARY,Mariposa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,4978 10TH ST.,MARIPOSA,95338,106,(209) 966-2140,(209) 966-2140,http://www.mariposalibrary.org/home.html,3,No,,"1,456.00","18,148",748,"2,125","2,873","15,275","7,170",748,1,0,0,4,5,5,"126,999","4,954",32,22,0,1,3,3,0,1,4,"$661,905 ","$583,905 ","$18,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$60,000 ","$18,000 ","$545,674 ","$71,400 ","$46,000 ","$2,400 ","$11,000 ","$12,000 ","$48,400 ","$324,695 ","$128,979 ","$453,674 ",$0 ,"$20,600 ",$200 ,"$5,000 ","$18,000 ","25,642","4,908",10,663,"5,081","1,323","8,819",96,"2,196","3,389",32,"63,203",0,0,32,"1,110","2,920","3,389","32,653","63,213","80,630","22,981",243,541,"130,268","36,564","28,600","6,289",298,108,42,245,"2,160","2,650",58,"1,160",50,"1,000",40,245,"$5,640 ","$5,866 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,084 ","$3,749 ",Yes,Yes,Yes,"70,000",30,"129,355",No,CA0192,16-17
MENDOCINO COUNTY LIBRARY,Mendocino,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,105 N. MAIN ST.,UKIAH,95482,4482,(707) 234-2873,(707) 463-4490,https://www.mendocinocounty.org/government/libraryry/,4,No,0.1,"3,510.00","89,134","5,258",,"5,258","83,876","46,627","5,913",1,4,1,0,5,6,"467,870","11,944",5.8,41,3,10,17.8,6.3,8.5,9,27.8,"$3,161,576 ","$3,077,510 ",$0 ,$0 ,"$83,268 ",$0 ,$0 ,$0 ,"$83,268 ","$84,066 ",,"$3,001,899 ","$438,491 ","$327,332 ","$13,308 ","$84,660 ","$13,191 ","$340,640 ","$1,182,538 ","$639,119 ","$1,821,657 ","$83,268 ","$741,751 ","$6,862 ","$74,793 ",$0 ,"42,626","6,493",137,899,"8,914","2,751","19,119",150,"10,215","77,500",9,"143,577","12,806","4,694",9,"5,635","15,692","77,500","94,458","143,714","249,406","128,882","2,453","42,234","601,480","125,932","103,530",,"3,136","1,029",215,"2,173","18,629","29,856",0,0,"1,029","18,629",863,"9,054","$6,824 ","$8,294 ","$4,869 ","$5,918 ",$0 ,$0 ,"$4,312 ","$5,242 ","$3,458 ","$4,311 ","$3,912 ","$4,756 ","$2,642 ","$3,210 ","$4,869 ","$5,918 ","$2,075 ","$2,522 ",Yes,Yes,No,"44,956",88,"173,303",No,CA0066,16-17
MENLO PARK PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,800 ALMA ST.,MENLO PARK,94025,3460,(650) 330-2500,(650) 330-2520,http://menlopark.org/library,3,Yes,,19,"35,670","2,813","4,359","7,172","28,498","25,347","4,870",1,1,0,0,2,2,"346,244","4,732",9,51,1.75,5.25,15.25,13.5,0,5.25,20.5,"$2,632,321 ","$2,387,289 ","$49,913 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$195,119 ","$49,913 ","$2,516,864 ","$310,789 ","$180,423 ","$22,930 ","$46,640 ","$60,796 ","$203,353 ","$1,322,190 ","$451,545 ","$1,773,735 ",$0 ,"$432,340 ",$0 ,"$81,749 ","$191,956 ","57,685","5,084",0,"2,563","16,643","5,264","17,927",189,"7,594","122,392",23,"135,200","16,963",0,23,"4,358","8,884","122,392","72,431","135,200","292,374","229,417","9,313","56,302","621,261","48,313","51,862","21,851","1,198",540,18,205,"25,306","27,611",426,"18,509",114,"6,797",100,"2,100","$11,866 ","$14,832 ","$9,828 ","$12,285 ","$6,839 ","$8,244 ","$7,168 ","$8,637 ","$5,288 ","$6,352 ","$5,931 ","$7,145 ","$4,121 ","$4,935 ","$6,087 ","$7,326 ","$2,889 ","$3,448 ",No,No,No,"25,597",39,"118,693",Yes,CA0067,16-17
MERCED COUNTY LIBRARY,Merced,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2100 O ST.,MERCED,95340,3637,(209) 385-7485,(209) 385-7311,http://www.mercedcountylibrary.org,4,Yes,,"1,988.52","274,665","23,896","47,517","71,413","203,252","38,531","13,355",1,4,1,7,6,13,"324,657","16,881",6.25,43,0,4,17,2,15,4,21,"$3,060,076 ","$2,876,307 ","$39,790 ","$1,735 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$142,244 ","$39,790 ","$2,924,257 ","$91,059 ","$83,072 ","$7,987 ",$0 ,$0 ,"$91,059 ","$1,174,803 ","$930,222 ","$2,105,025 ",$0 ,"$728,173 ",$0 ,"$29,832 ","$160,726 ","74,160","8,489","1,589",411,"3,271","1,473","5,091",110,"3,184",0,6,"273,543",0,0,6,"4,690","11,848",0,"190,894","275,132","283,610","90,490","7,174",0,"208,765","37,935","49,130","52,580","1,986","1,009",748,"7,967","14,499","23,857",562,"6,373",447,"8,126",229,"1,391","$8,911 ","$10,838 ",$0 ,$0 ,"$5,794 ","$7,051 ",$0 ,$0 ,"$3,674 ","$4,468 ","$4,052 ","$4,929 ","$3,007 ","$3,934 ","$4,905 ","$5,967 ","$2,658 ","$3,482 ",Yes,Yes,Yes,"56,193",61,"107,630",No,CA0068,16-17
MILL VALLEY PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,375 THROCKMORTON AVE.,MILL VALLEY,94941,2698,(415) 389-4292,(415) 389-4292,http://millvalleylibrary.org,5,Yes,,5,"14,910",424,969,"1,393","13,517","9,639","1,508",1,0,0,0,1,1,"230,385","3,079",4.7,48,1.11,7.03,13.7,2.41,10.18,7.03,20.73,"$2,448,628 ","$2,145,441 ","$33,442 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$269,745 ",,"$2,448,628 ","$200,859 ","$122,679 ","$12,565 ","$45,434 ","$20,181 ","$135,244 ","$1,227,897 ","$397,047 ","$1,624,944 ",$0 ,"$622,825 ","$13,374 ","$21,994 ",$0 ,"27,292","2,763",0,"1,135","7,616",937,"6,559",345,"6,428","86,379",51,"101,492","7,241",176,51,"1,778","6,987","86,379","71,437","101,492","202,442","125,108",970,"14,815","285,633","47,091","37,117","30,181","1,868",734,84,"2,193","29,396","42,957",227,"13,089",507,"16,307",316,"11,368","$13,213 ","$13,213 ","$6,832 ","$9,152 ","$4,829 ","$6,471 ",,,"$4,177 ","$5,598 ",,,,,"$4,541 ","$6,086 ","$3,065 ","$4,112 ",Yes,No,No,"19,314",14,"197,959",No,CA0069,16-17
MISSION VIEJO LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,100 CIVIC CENTER,MISSION VIEJO,92691,5518,(949) 830-7100,(949) 830-7100,http://www.cmvl.org,4,No,,18,"96,718","4,673","10,772","15,445","81,273","159,846","11,876",1,0,0,0,1,1,"812,068","3,021",7.8,68,0,14.71,19.61,12.91,6.7,12.5,34.32,"$3,767,344 ","$3,067,324 ","$14,787 ","$33,222 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$652,011 ",,"$3,168,156 ","$301,799 ","$186,529 ","$9,588 ","$87,695 ","$17,987 ","$196,117 ","$1,749,618 ","$653,798 ","$2,403,416 ","$38,964 ","$462,941 ",$0 ,"$46,717 ",$0 ,"73,118","5,371",0,"1,316","6,171","2,953","10,392",134,"7,687","9,996",18,"159,581","5,864","2,500",18,"4,173","8,285","9,996","81,092","159,581","186,292","589,141","17,553","63,409","1,053,385",127,65,"85,611",914,426,23,"1,287","9,104","14,120",316,"5,572",110,"3,532",39,"3,729","$9,819 ","$13,522 ",$0 ,$0 ,"$5,673 ","$7,812 ",$0 ,$0 ,"$3,960 ","$5,454 ","$4,376 ","$6,026 ","$3,360 ","$4,626 ","$3,806 ","$5,241 ","$2,780 ","$3,828 ",No,No,Yes,"26,788",32,"344,710",No,CA0198,16-17
MODOC COUNTY LIBRARY,Modoc,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,212 W. THIRD ST.,ALTURAS,96101,3913,(530) 233-6340,(530) 233-6340,http://modoccountylibrary.org,5,No,.25/page,"4,092.00","9,580",445,"1,490","1,935","7,645","5,835",402,1,0,0,3,4,4,"14,007","2,236",0.35,8,0,1,3,3,0,1,4,"$260,668 ","$235,000 ","$4,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$21,300 ",,"$287,149 ","$5,249 ","$3,926 ","$1,323 ",$0 ,$0 ,"$5,249 ","$150,072 ","$60,214 ","$210,286 ",$0 ,"$71,614 ","$1,300 ",$576 ,$0 ,"16,217","2,034",0,315,"2,411",175,"5,810",46,"1,233","5,412",1,"69,768","2,617",0,1,120,"1,651","5,412","51,517","69,768","83,448","3,117",4,712,"26,693",112,5,780,53,25,0,0,228,314,16,47,9,181,3,86,"$3,673 ",,,,,,,,,,,,"$2,001 ","$2,554 ",,,"$1,440 ","$1,838 ",No,Yes,No,-1,15,,No,CA0070,16-17
