Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
OAKLAND PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,125 14TH ST.,OAKLAND,94612,4310,5102383281,(510) 238-3138,http://oaklandlibrary.org,53,"456,202","363,431","76,302",1,17,0,18,"207,510","$39,644,144 ","$64,523 ",$0 ,"$222,008 ","$39,930,675 ","$64,523 ","$1,472,441 ",$0 ,$0 ,$0 ,"$1,472,441 ","$14,373,741 ","$9,288,302 ","$23,662,043 ","$1,255,831 ","$148,243 ","$1,404,074 ","$634,862 ","$35,324 ","$2,074,260 ","$7,114,135 ","$32,850,438 ","$849,805 ",315,89.66,89.66,182.64,272.3,15,"357,393","48,749","843,404","453,398","43,614","16,759","90,429","16,759",41,3,44,"2,467","35,124","2,088,793","315,804","2,518,321","1,285,954","220,946","339,337","135,412","474,749","2,857,658","2,993,070","17,225","26,417","4,632","158,884","1,456","25,713","1,665","32,814",502,"24,622","7,753","217,411",No,"228,318","1,335,939",-1,286,Yes,Yes,Yes,Yes,Yes,CA0081,18-19
OCEANSIDE PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,7604355560,(760) 435-5600,http://www.oceansidepubliclibrary.org,44,"178,021","81,228","17,040",1,2,2,5,"45,548","$5,242,628 ","$54,070 ","$3,906 ","$142,657 ","$5,443,261 ","$52,662 ","$142,060 ",$0 ,$0 ,"$10,568 ","$152,628 ","$1,949,424 ","$828,072 ","$2,777,496 ","$147,856 ","$10,070 ","$157,926 ","$58,079 ","$21,154 ","$237,159 ","$2,270,680 ","$5,285,335 ","$152,628 ",61,10.63,10.63,29.85,40.48,9.5,"81,280","13,428","187,151","14,568","7,055","3,707","10,766",0,7,3,10,211,"8,448","511,171","30,857","353,774",,,"38,481","3,770","42,251","392,255","396,025",256,239,"1,153","37,013",136,"2,104",449,"6,322",63,"4,641","1,738","45,439",Yes,"113,041",,"833,322",69,Yes,Don't know,Yes,Yes,Don't know,CA0082,18-19
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,9093952216,(909) 395-2205,http://www.ontariocitylibrary.org,50,"178,268","107,950","22,894",1,1,0,2,"72,800","$5,157,575 ",$0 ,$0 ,$0 ,"$5,157,575 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,757,763 ","$995,036 ","$3,752,799 ","$267,400 ","$16,300 ","$283,700 ","$56,000 ","$54,600 ","$394,300 ","$979,476 ","$5,126,575 ",$0 ,71,14,15,33,48,2.87,"102,283","23,906","265,191","5,043","7,076",464,"24,497",0,9,2,11,310,"5,772","381,529","65,268","522,827","305,436","22,427","42,769","223,279","266,048","565,596","788,875",431,183,475,"23,007",312,"4,828",294,"3,708",183,"3,498","1,081","31,543",Yes,"67,732",,,77,Yes,Yes,No,Yes,Yes,CA0083,18-19
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,7145663000,(714) 566-3000,http://www.ocpl.org/,556,"1,645,613","517,979","57,309",0,33,0,33,"396,080","$57,698,373 ","$432,954 ","$34,800 ","$2,949,586 ","$61,115,713 ","$162,066 ",$0 ,$0 ,$0 ,"$134,083 ","$134,083 ","$18,082,934 ","$8,742,434 ","$26,825,368 ","$3,315,155 ","$203,826 ","$3,518,981 ","$1,148,496 ","$797,570 ","$5,465,047 ","$15,426,115 ","$47,716,530 ","$727,270 ",386,116,116,222.13,338.13,35,"654,535","65,018","1,392,906","427,961","66,837","102,081","114,201","13,489",31,4,35,"2,769","85,345","5,370,115","476,903","6,597,153","3,974,269","270,285","1,022,484","558,461","1,580,945","7,619,637","8,178,098","1,197","5,614","9,274","370,286","1,305","19,654","3,378","38,702",443,"38,395","13,957","428,642",Yes,"468,114","3,099,286","1,191,956",559,Yes,Yes,No,Yes,Yes,CA0084,18-19
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,7142882471,(714) 288-2410,http://www.cityoforange.org/library,24,"141,691","56,992","7,681",1,2,0,3,"62,261","$5,672,176 ","$50,490 ",$0 ,"$159,257 ","$5,881,923 ","$41,000 ","$390,000 ",$0 ,$0 ,"$24,593 ","$414,593 ","$2,317,322 ","$1,181,299 ","$3,498,621 ","$135,745 ","$7,288 ","$143,033 ","$90,935 ","$32,767 ","$266,735 ","$1,543,978 ","$5,309,334 ","$323,258 ",55,13,13,27.45,40.45,7.78,"77,373","11,126","153,899","2,877","13,272","8,634","18,356","69,124",11,4,15,128,"5,967","422,142","29,444","415,142","237,216","9,454","211,387","94,498","305,885","626,529","721,027",303,41,415,"19,057",53,328,120,"3,461",71,"2,109",588,"22,846",Yes,"80,076","229,901","173,636",93,Yes,Yes,Yes,Yes,Yes,CA0085,18-19
ORLAND FREE LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,5308651640,-1,http://www.orlandfreelibrary.net,660,"15,594","10,623","1,496",1,0,0,1,"5,160","$460,351 ",$0 ,$0 ,$0 ,"$460,351 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$256,633 ","$152,152 ","$408,785 ","$8,000 ",$0 ,"$8,000 ","$2,200 ",$0 ,"$10,200 ","$45,851 ","$464,836 ",$0 ,7,1,1,3.5,4.5,1,"13,163","1,610","47,174","24,434","1,305","11,043","4,015",45,0,0,0,37,"2,027","37,712",,"34,532","11,576",520,"2,600",,"2,600","37,132","37,132",85,159,185,"5,056",0,0,3,45,20,936,188,"5,101",Yes,"5,551","18,791",,7,Yes,Yes,Yes,Yes,Yes,CA0086,18-19
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,8053857500,(805) 385-7532,www.oxnard.org/library,25,"209,879","94,222","25,676",1,2,0,3,"95,612","$3,161,486 ",$0 ,$0 ,"$126,614 ","$3,288,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,424,139 ","$922,455 ","$2,346,594 ","$155,920 ","$17,577 ","$173,497 ","$52,152 ",$0 ,"$225,649 ","$814,675 ","$3,386,918 ",$0 ,53,11,11,22.5,33.5,3.02,"128,120","17,217","389,367","486,759","17,868","372,272","18,299","15,562",5,3,8,162,"6,646","356,618","50,940","261,651","149,433","28,011","8,140","2,688","10,828","269,791","272,479",791,204,355,"7,774",150,"1,055",81,725,17,"1,454",586,"9,554",Yes,"78,006","231,641","109,353",87,Yes,Yes,Yes,Yes,Yes,CA0087,18-19
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,8316485760,(831) 648-5762,http://www.pacificgrovelibrary.org,3,"15,883","18,816","2,578",1,0,0,1,"12,593","$1,326,714 ",$0 ,$0 ,"$63,976 ","$1,390,690 ",$0 ,"$431,653 ",$0 ,$0 ,"$1,850,000 ","$2,281,653 ","$705,423 ","$237,871 ","$943,294 ","$48,968 ","$7,290 ","$56,258 ","$15,881 ","$9,873 ","$82,012 ","$270,420 ","$1,295,726 ","$224,960 ",11.5,4.5,4.5,7,11.5,1,"17,749","2,559","56,768","6,346","1,408","4,130","4,083",0,25,4,29,97,"2,600","155,023","14,501","133,334","48,573",,"16,245",,"16,245","149,579","149,579","46,480","37,934",226,"11,790",0,0,100,832,98,"1,513",326,"12,622",No,"12,229","52,037",,8,,,,,,CA0088,18-19
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,7603227323,(760) 322-7323,http://www.palmspringslibrary.org,106,"48,733","23,229","2,183",1,1,0,2,"38,400","$2,636,063 ",$0 ,"$8,000 ",$0 ,"$2,644,063 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$988,098 ","$719,557 ","$1,707,655 ","$113,210 ","$14,522 ","$127,732 ","$84,867 ","$57,502 ","$270,101 ","$658,307 ","$2,636,063 ",$0 ,18,6.5,6.5,7.3,13.8,1.6,"20,658","4,810","100,332","124,297","9,088","2,300","25,140","70,149",12,4,16,149,"6,842","244,716","16,721","472,111","89,604","6,600","16,244","17,262","33,506","488,355","505,617",842,869,136,"7,001",39,412,106,"2,498",50,,281,"9,911",Yes,"66,772",,"36,016",46,Yes,Yes,No,Yes,Yes,CA0090,18-19
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,6612675600,(661) 267-5600,http://www.cityofpalmdale.org/library,103,"157,854","54,635","11,035",1,0,1,2,"12,787","$1,322,033 ",$0 ,$0 ,"$85,778 ","$1,407,811 ",$0 ,"$77,481 ",$0 ,$0 ,$0 ,"$77,481 ",$0 ,$0 ,$0 ,"$99,883 ","$4,356 ","$104,239 ","$58,474 ","$57,448 ","$220,161 ","$1,101,872 ","$1,322,033 ","$77,481 ",16,3,3,9,12,0.61,"29,614","5,731","63,502",881,"4,451",86,"3,142",0,6,1,7,105,"2,968","176,483","35,591","178,829","91,711","8,245","1,069",,"1,069","179,898","179,898","23,190","10,382",372,"13,601",28,783,114,874,19,"6,291",514,"15,258",Yes,"34,818","75,177","45,553",28,Yes,Yes,Yes,Yes,Yes,CA0089,18-19
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,6503292516,(650) 329-2436,http://www.cityofpaloalto.org/library/,26,"69,397","68,034","13,791",0,5,0,5,"88,089","$9,723,499 ","$5,953 ",$0 ,"$145,693 ","$9,875,145 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,504,861 ","$2,852,018 ","$7,356,879 ","$325,753 ","$35,092 ","$360,844 ","$365,477 ","$91,294 ","$817,616 ","$1,696,091 ","$9,870,586 ",$0 ,108,27.05,29.05,33.53,62.58,1.94,"96,976","12,544","247,030","144,658","14,193","38,337","32,485","8,454",58,4,62,286,"13,520","1,009,639","14,924","1,353,424","751,212","74,729","117,127","354,722","471,849","1,470,551","1,825,273","16,711","10,877",771,"42,137",120,"2,619",317,"6,019",25,"3,652","1,208","50,775",No,"124,274","915,627","353,399",138,Yes,Yes,Yes,Yes,Yes,CA0091,18-19
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,7609225371,(760) 922-5371,http://www.blythelibrary.org,"1,003.00","37,942","11,850","3,342",1,0,0,1,"6,199","$334,388 ",$0 ,$0 ,"$12,571 ","$346,959 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$189,336 ","$77,879 ","$267,215 ","$6,936 ",$0 ,"$6,936 ",$0 ,$480 ,"$7,416 ","$70,746 ","$345,377 ",$0 ,5,0,1,4,5,0.4,"14,780","2,644","40,848",0,"1,063",0,"1,261",0,0,1,1,0,"1,950","68,184","5,059","50,097","36,495",129,0,0,0,"50,097","50,097",0,27,59,932,0,0,4,26,0,0,63,958,No,"7,530","2,414","1,345",13,Yes,Yes,No,Yes,No,CA0093,18-19
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (exactly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,3103779584,(310) 377-9584,http://www.pvld.org,28,"68,943","52,380","19,584",1,3,0,4,"114,500","$8,543,389 ",$0 ,"$21,000 ","$728,201 ","$9,292,590 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,164,872 ","$1,582,249 ","$6,747,121 ","$228,920 ","$34,505 ","$263,425 ","$263,964 ","$41,827 ","$569,216 ","$1,648,772 ","$8,965,109 ","$78,472 ",93,16,19,39,58,20,"69,655","5,800","210,126","299,887","10,780","65,114","19,653","32,918",36,4,40,570,"8,580","667,505","43,036","713,219","353,112","19,694","90,368","60,901","151,269","803,587","864,488",759,422,910,"35,840",92,"1,538",361,"8,757",53,"1,479","1,363","46,135",Yes,"41,728","387,757","138,990",48,Yes,Yes,No,Yes,Yes,CA0092,18-19
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,6267444066,(626) 744-4066,http://cityofpasadena.net/library,23,"146,312","332,113","70,738",1,9,0,10,"179,336","$14,299,308 ",$0 ,$0 ,"$138,000 ","$14,437,308 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,077,846 ","$4,078,476 ","$9,156,322 ","$544,839 ","$41,759 ","$586,598 ","$124,546 ","$95,905 ","$807,049 ","$4,473,937 ","$14,437,308 ",$0 ,133,25.5,25.5,78.06,103.56,0.75,"172,031","13,685","566,251","28,700","9,679","8,037","22,239",224,23,2,25,608,"23,932","803,275","122,167","1,159,561","467,326","13,825","106,817","51,722","158,539","1,266,378","1,318,100","30,517","62,431","1,858","122,167",188,"3,507",856,"20,123",122,"9,137","2,902","145,797",No,"121,667","8,487,323","232,285",154,Yes,Yes,Yes,Yes,Yes,CA0094,18-19
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,8052373870,(805) 237-3870,http://www.prcity.com/library,17,"31,244","19,093","2,221",1,1,0,2,"20,607","$1,324,832 ","$2,562 ","$2,038 ","$22,466 ","$1,351,898 ",$0 ,"$45,666 ",$0 ,$0 ,$0 ,"$45,666 ","$656,440 ","$462,780 ","$1,119,220 ","$41,275 ","$3,025 ","$44,300 ","$23,928 ","$12,256 ","$80,484 ","$152,194 ","$1,351,898 ",$0 ,15,3,3,7.1,10.1,6.2,"23,379","1,835","59,896","1,849","4,964","3,396","7,640",950,11,4,15,77,"3,182","157,116","14,664","262,551","112,492","8,982","41,176","5,076","46,252","303,727","308,803","26,804","24,649",400,"9,217",6,146,100,"1,217",11,464,506,"10,580",Yes,"24,428","14,190","12,355",18,Yes,Yes,No,Yes,Yes,CA0095,18-19
PLACENTIA LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Santiago,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,7145281925,(714) 528-1906,https://www.placentialibrary.org,7,"55,850","47,735","13,142",1,0,0,1,"22,800","$2,376,923 ","$33,075 ",$0 ,"$453,520 ","$2,863,518 ","$30,075 ",$0 ,$0 ,$0 ,"$1,126,100 ","$1,126,100 ","$1,450,865 ","$373,035 ","$1,823,900 ","$159,631 ",$322 ,"$159,953 ","$138,234 ","$49,545 ","$347,732 ","$691,886 ","$2,863,518 ","$2,789,500 ",25,9,10,11,21,5,"32,600","6,151","68,485","409,874","3,471","323,353","6,562","34,725",16,3,19,4,"3,226","147,905","4,327","149,951","64,052","4,216","56,192","42,103","98,295","206,143","248,246","1,689","6,030",210,"18,670",40,992,94,"2,908",192,"8,496",344,"22,570",Yes,"20,485","96,363","23,568",34,Yes,Yes,No,Yes,Yes,CA0096,18-19
PLACER COUNTY LIBRARY,Placer,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,350 NEVADA ST.,AUBURN,95603,3789,5308864550,(530) 886-4510,http://www.placer.ca.gov/library,"1,403.60","201,884","95,437","9,876",1,8,1,10,"60,964","$7,784,393 ","$63,316 ",$0 ,"$217,480 ","$8,065,189 ","$63,316 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,820,528 ","$1,430,058 ","$4,250,586 ","$286,714 ","$11,849 ","$298,563 ","$118,426 ","$49,662 ","$466,651 ","$3,328,603 ","$8,045,840 ",$0 ,50.96,13.48,13.48,37.48,50.96,4.67,"80,449","11,824","186,251","16,730","17,017","6,110","14,676",0,9,1,10,250,"14,740","555,793","12,631","909,887","358,900","7,917","97,375","31,014","128,389","1,007,262","1,038,276",117,28,"1,152","33,898",70,"1,024",406,"6,544",0,0,"1,628","41,466",No,,,,64,Yes,Yes,Yes,Yes,Yes,CA0009,18-19
PLEASANTON PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,9259313400,(925) 931-3400,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,22,"80,492","39,104","11,027",1,0,0,1,"30,000","$4,968,415 ","$55,968 ","$10,000 ",$0 ,"$5,034,383 ","$37,954 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,427,857 ","$1,244,086 ","$3,671,943 ","$200,746 ","$10,742 ","$211,488 ","$168,100 ","$136,055 ","$515,643 ","$347,126 ","$4,534,712 ",$0 ,33.25,10.75,11.75,21.5,33.25,10,"77,725","6,905","137,362","360,088","10,789","332,285","10,168","85,817",23,3,26,157,"3,224","594,225","74,099","1,091,852","732,137","21,225","96,334",,"96,334","1,188,186","1,188,186","10,835","13,975",211,"15,727",186,"8,215",144,"7,368",319,"23,209",541,"31,310",Yes,"64,502","141,379","55,500",27,,,,,,CA0206,18-19
PLUMAS COUNTY LIBRARY,Plumas,County Library with Dedicated Tax,Multi-County (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,445 JACKSON ST.,QUINCY,95971,9410,5302836310,-1,http://plumascounty.us/index.aspx?nid=546,"3,528.00","22,992","11,003","1,883",1,7,0,8,"18,651","$422,987 ","$80,716 ",$0 ,"$19,631 ","$523,334 ","$63,062 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$269,437 ","$147,968 ","$417,405 ","$17,864 ","$4,637 ","$22,501 ","$7,442 ","$2,780 ","$32,723 ","$73,206 ","$523,334 ",$0 ,34,1.5,3,7.29,10.29,0.87,"22,743","3,478","90,826","12,466","2,572","6,041","5,722","32,500",3,4,7,139,"7,436","54,940","2,871","54,643","12,993",133,"21,046",,"21,046","75,689","75,689",0,0,158,"1,875",1,0,343,"2,176",296,"1,875",502,"4,051",No,"13,602",,,36,Yes,Yes,,Yes,Yes,CA0097,18-19
POMONA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,625 S. GAREY AVE.,POMONA,91766,3322,9096202473,(909) 620-2043,http://www.pomonalibrary.org,23,"154,310","42,688","9,774",1,0,0,1,"57,000","$957,412 ",$0 ,$0 ,$0 ,"$957,412 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$450,440 ","$43,560 ","$494,000 ","$47,131 ","$2,954 ","$50,085 ","$6,481 ","$1,740 ","$58,306 ","$403,895 ","$956,201 ",$0 ,20,2,2,10.45,12.45,2,"41,277","3,789","280,651",0,"7,302",0,502,0,0,1,1,56,"1,508","71,880","8,027","55,448","37,190","5,778",0,,0,"55,448","55,448",0,0,107,"2,583",1,32,3,40,0,0,111,"2,655",Yes,"38,471",,,42,Yes,Don't know,No,Yes,No,CA0098,18-19
PORTERVILLE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,41 WEST THURMAN AVENUE,PORTERVILLE,93257,3652,5597840177,(559) 784-0177,http://www.portervillelibrary.org,12,"60,260","16,971","4,189",1,1,0,2,"20,024","$1,331,635 ","$24,645 ","$7,600 ",$0 ,"$1,363,880 ","$24,645 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$649,057 ","$306,754 ","$955,811 ","$70,210 ","$3,993 ","$74,203 ","$25,857 ","$31,391 ","$131,451 ","$205,561 ","$1,292,823 ",$0 ,24,1,1,15.2,16.2,2.74,"41,900","3,543","70,486","146,242","4,931","8,979","7,092",268,38,1,39,59,"4,053","155,851","15,340","217,488","112,157","31,849","5,831","1,902","7,733","223,319","225,221","23,933","16,658",565,"16,274",69,"1,076",409,"3,899",166,"3,518","1,043","21,249",Yes,"37,927","84,022","15,197",41,Yes,Yes,No,Yes,Yes,CA0099,18-19
RANCHO CUCAMONGA PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,7368 ARCHIBALD AVENUE,RANCHO CUCAMONGA,91730,1401,9094772720,(909) 477-2720,http://www.rcpl.lib.ca.us/,38,"179,412","315,906","81,669",0,2,1,3,"45,497","$4,281,330 ","$55,000 ",$0 ,"$641,000 ","$4,977,330 ","$22,968 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,625,830 ","$917,300 ","$3,543,130 ","$354,000 ","$22,000 ","$376,000 ","$297,450 ","$60,000 ","$733,450 ","$749,860 ","$5,026,440 ","$99,790 ",79,10.5,13.5,36,49.5,5,"127,150","13,550","242,306","105,988","10,771","9,585","14,695",268,59,3,62,262,"6,230","514,644","150,942","916,757","552,194","7,557","70,789","786,404","857,193","987,546","1,773,950",0,48,905,"30,454",35,604,172,"6,944",26,"7,351","1,112","38,002",Yes,"73,300","360,706",,45,Yes,Yes,Yes,Yes,Yes,CA0194,18-19
RANCHO MIRAGE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,71-100 HIGHWAY 111,RANCHO MIRAGE,92270,4123,7603417323,(760) 341-7323,http://www.ranchomiragelibrary.org,25,"18,489","43,397","5,971",1,0,0,1,"45,092","$2,997,583 ",$0 ,$0 ,"$71,400 ","$3,068,983 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,538,239 ","$604,670 ","$2,142,909 ","$117,460 ","$10,182 ","$127,642 ","$79,358 ","$33,000 ","$240,000 ","$774,675 ","$3,157,584 ",$0 ,44,7,7,20,27,3,"20,063","3,102","114,905","4,181","9,251","2,450","12,958","5,714",20,3,23,102,"2,865","249,657","67,529","330,633","85,905","1,429","39,142","210,090","249,232","369,775","579,865",64,84,300,"17,394",11,183,"1,256","33,468",1,101,"1,567","51,045",No,"15,713","181,327",,32,Yes,Yes,No,Yes,Yes,CA0196,18-19
REDONDO BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,303 N. PACIFIC COAST HWY,REDONDO BEACH,90277,2838,3103180676,(310) 318-0675,http://redondo.org/library,7,"68,473","58,909","9,077",1,1,0,2,"62,287","$4,740,605 ",$0 ,$0 ,"$78,674 ","$4,819,279 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,617,508 ","$539,273 ","$2,156,781 ","$134,630 ","$12,637 ","$147,267 ","$137,489 ","$47,488 ","$332,244 ","$2,251,580 ","$4,740,605 ",$0 ,56,10,10,18,28,0.3,"62,972","9,001","191,974","453,300","23,430","102,771","20,950","37,357",12,4,16,188,"4,800","314,093","30,692","389,469","180,229","8,072","58,497","37,401","95,898","447,966","485,367",56,16,314,"10,181",31,431,133,"2,570",11,,478,"13,182",No,"18,825","71,430","350,571",22,Yes,Yes,No,Yes,Yes,CA0100,18-19
REDWOOD CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1044 MIDDLEFIELD RD,REDWOOD CITY,94063,1868,6507807061,(650) 780-7018,http://www.redwoodcity.org/library,34,"85,319","65,344","15,203",1,3,0,4,"79,800","$8,285,977 ","$246,730 ","$4,000 ","$409,801 ","$8,946,508 ","$246,730 ","$100,000 ",$0 ,$0 ,$0 ,"$100,000 ","$4,242,776 ","$1,821,026 ","$6,063,802 ","$318,504 ","$22,297 ","$340,801 ","$163,979 ","$146,020 ","$650,800 ","$2,163,506 ","$8,878,108 ","$88,682 ",97,11.42,14.17,40.27,54.44,29.57,"101,035","10,361","194,628","212,671","14,070","24,419","24,639","90,972",34,3,37,271,"10,816","743,915","147,303","957,943","587,655","38,240","181,912","66,949","248,861","1,139,855","1,206,804","79,032","88,812","4,030","159,229",551,"9,573","3,011","19,251","3,289","94,030","7,592","188,053",No,"69,926","92,246","991,050",219,Yes,Yes,Yes,Yes,Yes,CA0101,18-19
