Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,(831) 624-1366,(831) 624-7323,http://ci.carmel.ca.us/library,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"4,023","9,547",600,1,1,0,2,"15,282","$676,254 ","$4,500 ",$0 ,"$320,413 ","$1,001,167 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$474,961 ","$197,793 ","$672,754 ","$67,212 ",$594 ,"$67,806 ","$96,747 ","$7,732 ","$172,285 ","$110,817 ","$955,856 ",$0 ,5.5,4,4,2.5,6.5,0,"12,461","1,456","47,334","3,569","6,242",0,"57,145",86,"605,734","159,607","46,105",31,3,34,0,-1,Annual Count,"10,159",Annual Count,No,,,,No,No,"15,824",-1,0,0,-1,"44,156","45,642","12,655",,"58,297","102,453",Yes,21,"2,615",3,56,,3,0,3,,56,0,56,,0,0,0,,0,0,0,,1,0,1,,7,0,7,,6,0,6,,"1,026",0,"1,026",,11,0,11,,"1,526",0,"1,526",0,0,8,"1,026",-1,No,0,Annual Count,"40,224","4,720",Annual Count,16,1,-1,Craft cart at Outside Library. ,CA0021,20-21
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,888 C STREET,HAYWARD,94541,5101,(510) 881-7954,(510) 293-8685,hayward-ca.gov/public-library,56,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"158,089","131,263","30,226",1,1,0,2,"66,567","$5,960,563 ","$91,185 ","$270,779 ","$69,930 ","$6,392,457 ","$43,386 ",$0 ,$0 ,"$7,000 ","$50,386 ","$2,702,528 ","$1,281,541 ","$3,984,069 ","$141,285 ","$7,859 ","$149,144 ","$103,517 ","$52,193 ","$304,854 ","$1,862,490 ","$6,151,413 ","$50,386 ",61,10,12.5,24.8,37.3,0,"58,725","4,489","121,030","7,522","22,402","1,257","152,211",170,"620,015","446,167","45,856",2,2,4,70,"47,513",Annual Count,-1,,No,$0.00 ,$0.00 ,$0.00 ,No,No,"41,419","2,297","1,892","2,937","84,342","84,885","41,955","1,288",,"43,243","128,128",No,178,"1,153",64,885,49,49,,,430,430,,,15,15,,,455,455,,,0,0,,,0,0,,,101,101,,,241,241,,,13,13,,,27,27,,,0,0,191,0,0,No,0,Annual Count,-1,-1,,63,"19,988","19,988","Materials for summer learning camps, bags of back-to-school materials, materials for literacy classes, take-home activity kits, library to-go bags with puzzles/activities on the sides",CA0044,20-21
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,(951) 765-2440,(951) 765-2440,www.hemetca.gov/library,27.56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"84,525","116,189","33,343",1,0,0,1,"34,602","$1,335,200 ","$28,577 ","$15,000 ","$30,000 ","$1,408,777 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$375,900 ","$375,300 ","$751,200 ","$149,350 ","$9,500 ","$158,850 ","$50,195 ","$5,780 ","$214,825 ","$587,600 ","$1,553,625 ",$0 ,8,1,2,6,8,2,"21,967","5,337","81,657","3,735","6,645",0,"92,037",0,"718,733","132,849","309,923",6,1,7,"1,406",-1,,-1,,Yes,$0.50 ,$0.50 ,$0.50 ,No,No,"11,919",523,0,0,"41,232","55,098","193,930","4,065,977",,"4,259,907","4,315,005",Yes,897,"1,335",897,"1,335",,897,0,897,,"1,335",0,"1,335",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,897,"1,335",0,Yes,"3,896",Annual Count,"269,410","38,582",Annual Count,19,4,495,Summer reading grab and go bags @ story walks.,CA0045,20-21
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,(707) 269-1918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,"3,573.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"130,851","113,577","16,375",1,10,1,12,"83,985","$3,557,853 ","$32,006 ","$94,703 ","$556,229 ","$4,240,791 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,406,721 ","$724,349 ","$2,131,070 ","$125,759 ","$14,850 ","$140,609 ","$11,947 ","$23,634 ","$176,190 ","$779,655 ","$3,086,915 ",$0 ,27.8,5,7,20.8,27.8,0,"77,340","10,041","265,703","14,912","17,181",52,"297,848",411,"17,017","6,625",0,6,6,12,"2,337",-1,,"15,102",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"49,348",748,201,287,7,"151,121","102,922","10,231",,"113,153","264,274",Yes,312,"4,107",155,"2,138",,101,2,99,,"1,480",55,"1,425",,54,2,52,,658,188,470,,10,0,10,,36,0,36,,147,1,146,,"1,933",5,"1,928",,0,0,0,,0,0,0,2,55,124,654,450,No,192,Annual Count,"59,941",-1,,46,19,"3,809",Take-home activity kits and Beanstack challenge,CA0039,20-21
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,(714) 960-8836,(714) 842-4481,http://www.hbpl.org,26,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"196,874","144,868","29,372",1,4,0,5,"127,240","$5,265,389 ","$58,141 ","$22,000 ","$325,989 ","$5,671,519 ","$241,933 ",$0 ,$0 ,$0 ,"$241,933 ","$2,558,397 ","$1,301,894 ","$3,860,291 ","$263,719 ","$11,008 ","$274,727 ","$279,260 ","$50,000 ","$603,987 ","$876,239 ","$5,340,517 ","$241,933 ",101,9,9,35,44,26.76,"108,402","11,699","291,106","10,229","11,033",0,"312,368",30,"588,883","420,534","48,638",13,1,14,"2,368","122,211",Annual Count,-1,,No,,,,No,No,"240,229","2,376",0,0,-1,"481,523","156,084","27,464",,"183,548","665,071",Yes,151,"5,625",51,"2,901",,21,1,20,,377,120,257,,30,5,25,,"2,524","2,213",311,,18,16,2,,"1,644","1,389",255,,82,37,45,,"1,080",366,714,,0,0,0,,0,0,0,0,0,200,"14,057",319,Yes,"5,338",Annual Count,-1,-1,,71,68,"5,111",Take&Make STEAM Kits for elementary; Preschool Busy Bag early literacy kits for ages 3-5; reading challenges,CA0046,20-21
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,(442) 265-7100,-1,http://www.library.imperialcounty.org,"4,275.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"52,937","5,910","2,258",0,4,0,4,"8,055","$459,447 ","$236,668 ",$0 ,"$96,997 ","$793,112 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$404,976 ","$192,135 ","$597,111 ","$9,775 ",$0 ,"$9,775 ","$7,225 ","$19,165 ","$36,165 ","$333,603 ","$966,879 ",$0 ,15,1,1,10,11,0,"34,261","3,695","64,055","1,121","2,186","1,567","68,929",0,"16,696","6,131","27,007",2,2,4,288,24,Annual Count,0,Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,Yes,No,"5,469","7,366",0,0,192,"9,317",806,367,,"1,173","10,490",Yes,780,"2,498",768,"2,426",,739,0,739,,"2,264",0,"2,264",,29,0,29,,162,0,162,,0,0,0,,0,0,0,,12,0,12,,72,0,72,,0,0,0,,0,0,0,0,0,20,727,0,No,0,Annual Count,-1,-1,,18,53,"4,966",Biweekly family literacy kits for families with children ages 0-5 Sensory to-go activity kits for families with autistic children Monthly storytime to-go kits for K-6 Greeting card To-Go kits for adults,CA0047,20-21
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. 9TH ST.,IMPERIAL,92251,1213,(760) 355-1332,(760) 355-1332,http://www.cityofimperial.org/public-library,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"20,289","7,715","3,362",1,0,0,1,"10,725","$241,723 ","$127,520 ","$5,000 ","$46,777 ","$421,020 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$157,555 ","$41,041 ","$198,596 ","$7,000 ",$750 ,"$7,750 ","$5,622 ",$0 ,"$13,372 ","$189,909 ","$401,877 ",$0 ,6,0,1,5,6,0.4,"7,254","16,695","40,128",760,896,45,"41,829",41,"4,153",650,0,0,0,0,"1,360",-1,Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.20 ,$0.20 ,$0.20 ,Yes,Yes,"13,025",-1,0,0,-1,-1,-1,-1,,,,Yes,50,513,49,483,,46,10,36,,383,72,311,,3,3,0,,100,100,0,,1,1,0,,30,30,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,130,36,214,196,Yes,-1,Annual Estimate Based on Typical Week(s),-1,-1,,11,27,443,"Drive thru parades for Halloween, Easter and National Read Across America Day provided programming materials. The Summer Reading Program was also offered as a To-Go Program available thru curbside pick-up. The summer reading program was offered to 0-5, children, young adult, and adult formats.",CA0048,20-21
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,(310) 412-5397,(310) 412-5380,http://library.cityofinglewood.org,9,Yes,Yes,Yes,No,Yes,Yes,Yes,No,"110,159","100,422","11,209",1,1,0,2,"84,900","$4,029,992 ",$0 ,"$24,800 ",$0 ,"$4,054,792 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,298,461 ","$1,100,123 ","$2,398,584 ","$123,500 ","$10,300 ","$133,800 ","$227,100 ",$0 ,"$360,900 ","$256,120 ","$3,015,604 ",$0 ,29,9,9,10,19,0,"42,191","6,251","137,393",0,"4,762",436,"142,591",12,"1,085",500,700,19,3,22,216,20,Annual Count,38,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,683,118,0,0,16,"2,017","2,850","2,850","4,867","5,700","7,717",Yes,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,Yes,30,Annual Count,"2,100",-1,Annual Estimate Based on Typical Week(s),20,0,0,,CA0049,20-21
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,(760) 878-0359,(760) 878-0260,https://www.inyocounty.us/services/inyo-county-free-library,"10,091.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"18,563","11,215",-1,1,5,0,6,"15,793","$572,251 ","$28,184 ",$0 ,"$1,567 ","$602,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$350,526 ","$160,102 ","$510,628 ","$17,915 ","$6,180 ","$24,095 ","$6,174 ",$0 ,"$30,269 ","$61,105 ","$602,002 ",$0 ,10,0,5.88,1.45,7.33,0.23,"35,950","2,551","134,854","1,761","7,774",0,"144,389",134,"188,993","11,263","30,730",6,6,12,375,739,Annual Count,-1,,Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"2,815",-1,0,0,0,"11,776","6,701","7,862",,"14,563","26,339",Yes,57,187,28,143,,,,,,,,,,,,,,,,,,28,28,,,30,30,,,0,0,0,,0,0,0,,1,1,,,14,14,,0,0,2,-1,-1,No,403,Annual Count,-1,-1,,11,4,449,"Take-home summer crafts and books geared for different ages, Dia de los Ninos activities and books, online instruction for making snowflakes from recycled paper strips.",CA0050,20-21
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,https://www.irwindaleca.gov/121/Library,10,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,441","7,190","1,680",1,0,0,1,"2,831","$406,810 ","$8,979 ",$0 ,$231 ,"$416,020 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$248,429 ","$71,823 ","$320,252 ","$11,835 ","$2,778 ","$14,613 ","$6,953 ","$4,079 ","$25,645 ","$44,596 ","$390,493 ",$0 ,14,1,1,6,7,0,"9,258","1,974","17,302",368,"4,159",121,"21,950",63,"22,795","8,960",268,5,4,9,403,"18,512",Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.00 ,$0.00 ,No,No,"3,354",137,0,1,"2,094","6,808","1,556",182,,"1,738","8,546",Yes,15,45,3,24,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,12,2,10,,21,5,16,,0,0,0,,0,0,0,0,0,0,0,0,Yes,426,Annual Count,"10,760",-1,,12,17,298,"take home craft kits, social media challenge",CA0161,20-21
KERN COUNTY LIBRARY,Kern,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,(661) 868-0700,(661) 868-0701,https://kernlibrary.org,"8,141.00",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"914,193","85,472","16,566",1,22,3,26,"283,828","$5,639,783 ","$10,000 ","$30,700 ","$435,386 ","$6,115,869 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,458,784 ","$1,623,773 ","$4,082,557 ","$144,798 ",$957 ,"$145,755 ","$250,286 ","$99,235 ","$495,276 ","$1,538,036 ","$6,115,869 ",$0 ,93,10,10,58.8,68.8,0.38,"244,906","39,133","699,968","34,218","25,511",0,"759,697",6,"520,126","421,378","49,316",39,5,44,"9,328","45,996",Annual Count,"31,444",Annual Count,Yes,$0.50 ,$0.50 ,$0.50 ,No,No,"158,798","4,027","60,443","56,751",0,"315,291","220,168","14,044",,"234,212","549,503",Yes,"2,610","36,264","1,642","15,882",,81,14,67,,677,332,345,,"1,561",217,"1,344",,"15,205","11,663","3,542",,143,45,98,,"2,038",314,"1,724",,366,53,313,,"4,588",298,"4,290",,459,272,187,,"13,756","10,489","3,267",15,498,"3,481","27,913","24,769",Yes,"8,231",Annual Count,"1,320,063","27,914",Annual Estimate Based on Typical Week(s),262,152,"10,152","Carry Out Crafts, Activities to go, Art to Go, Coloring Pages, Facebook, Community Art Projects, Plant a Flower, Guess Howm Many, I spy displays, Selfie stations, Blind Date with a book, Story Phone, Facebook Votes (favorite Mammal, bird reptile), Facebook Stick together (Photo Share), Code Breaker kits, Gingerbread hunts, pumpkin hunts, Monster hunt (around community), Mosaic Art Murals. ",CA0051,20-21
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,(559) 852-4005,(559) 852-4003,http://www.kingscountylibrary.org/,"1,396.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"152,543","19,566","3,146",1,6,0,7,"55,400","$2,074,461 ","$230,000 ",$0 ,"$27,980 ","$2,332,441 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$977,966 ","$411,763 ","$1,389,729 ","$46,000 ","$4,400 ","$50,400 ","$84,940 ","$2,100 ","$137,440 ","$909,817 ","$2,436,986 ",$0 ,,3,5,12.51,17.51,7,"44,273","11,904","163,575","2,848","12,538",19,"178,980",61,"160,622",803,0,43,5,48,"3,886","3,513",Annual Count,"1,914",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,Yes,Yes,"15,969",529,"22,595","12,612",0,"41,027","8,759",560,,"9,319","50,346",Yes,118,"3,593",4,32,,,,,,,,,,,,,,,,,0,0,,,0,0,,,1,2,,1,7,14,,7,56,112,14,42,"1,793","3,547","1,163",591,51,"1,501",92,606,"16,816",Yes,567,Annual Count,"50,761","1,174",Annual Count,52,18,"1,139","The 18 self-directed activities that occurred within this fiscal year included 3 social media reading challenges, 8 grab-and-go kits for the Out-of-School Time Grant, 5 First 5 bilingual craft kits, 1 Winter Open House bag (included books), and 1 Summer Reading Program bag (included books and crafts). The spring, summer, and winter social media reading challenges were conducted via Beanstack. The Out-of-School Time Grant grab-and-go literacy kits were provided to participants in 2 apartment complexes during a span of 8 weeks. The bilingual craft kits were provided to preschools and elementary schools for children to take home. The Winter Open House grab-and-go bag and the Summer Reading Program bag were provided to participants to read and enjoy at home. ",CA0053,20-21
LA COUNTY LIBRARY,Los Angeles,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,(562) 940-8462,N/A,http://www.lacountylibrary.org,"3,041.33",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"3,338,382","2,333,303","460,528",0,85,3,88,"1,133,799","$152,154,585 ","$290,521 ","$34,521 ","$20,589,416 ","$173,069,043 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$66,118,790 ","$42,953,561 ","$109,072,351 ","$5,109,309 ","$263,097 ","$5,372,406 ","$4,505,871 ","$1,009,711 ","$10,887,988 ","$33,491,630 ","$153,451,969 ","$5,653,872 ","1,367.00",266,267,840,"1,107.00",0.08,"2,073,575","246,076","3,466,972","190,232","525,571","105,570","4,288,345","3,571","1,616,843","279,042","45,550",44,4,48,"27,280","1,032,726",Annual Estimate Based on Typical Week(s),"159,397",Annual Estimate Based on Typical Week(s),Yes,$0.30 ,$0.15 ,$0.15 ,Yes,Yes,"1,630,668","126,806",249,45,"5,948","3,381,876","4,893,887","2,067,019",,"6,960,906","10,342,782",Yes,"2,114","178,676","1,478","159,978",,376,34,342,,"128,597",322,"128,275",,"1,102","1,030",72,,"31,381","28,445","2,936",,226,89,137,,"4,153",539,"3,614",,398,256,142,,"13,771","2,868","10,903",,12,0,12,,774,0,774,158,"2,066",241,"61,490","5,596",Yes,"48,071",Annual Count,"10,748,310","905,002",Annual Count,"1,794","14,101","24,200","Early Literacy support resources, STEAM activities and crafts, and School and Life Skills support activities. Typically activity kits supported live or pre-recorded programs.",CA0062,20-21
LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,(707) 263-8817,(707) 263-8817,http://library.lakecountyca.gov,"1,296.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"63,940","30,722","4,010",1,3,0,4,"29,821","$960,986 ","$107,560 ","$58,790 ","$23,548 ","$1,150,884 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$417,902 ","$213,993 ","$631,895 ","$76,850 ","$2,948 ","$79,798 ","$39,547 ","$3,229 ","$122,574 ","$415,207 ","$1,169,676 ",$0 ,18,1,1,10.15,11.15,0.45,"39,101","4,263","129,178","4,908","8,687",68,"142,841",38,"771,899","463,195","49,347",4,5,9,"4,734",-1,Annual Estimate Based on Typical Week(s),809,Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,Yes,Yes,"37,947",462,"83,251","32,928",290,"144,109","40,189","6,535",,"46,724","190,833",Yes,221,"2,054",103,"1,511",,68,68,0,,"1,162","1,162",0,,35,29,6,,349,331,18,,1,0,1,,4,0,4,,117,4,113,,539,15,524,,0,0,0,,0,0,0,87,"1,359",48,486,0,Yes,"8,968",Annual Count,"59,760",-1,Annual Count,31,-1,-1,"We provided take home craft kits for children and encouraged different activities during our Summer Reading Program for our patrons, but did not count them. ",CA0054,20-21
LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,(415) 927-5005,(415) 927-5005,http://www.larkspurlibrary.org,3,Yes,Yes,Yes,Yes,Yes,No,No,No,"12,194","6,998",436,1,0,0,1,"3,300","$634,095 ","$6,182 ",$0 ,"$22,864 ","$663,141 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$314,468 ","$111,527 ","$425,995 ","$36,659 ","$2,000 ","$38,659 ","$15,896 ","$9,641 ","$64,196 ","$130,698 ","$620,889 ","$7,657 ",4.2,2,2,2.2,4.2,0.05,"10,446","1,014","38,466","1,481","3,915",16,"43,878",13,"178,728","22,763",225,25,5,30,96,940,Annual Estimate Based on Typical Week(s),"1,296",Annual Estimate Based on Typical Week(s),No,,,,Yes,Yes,"21,698",34,"47,297","25,671",48,"62,397","34,942","135,480",,"170,422","232,819",Yes,150,"2,061",87,394,,80,0,80,,135,0,135,,7,0,7,,259,0,259,,11,0,11,,86,0,86,,51,0,51,,"1,463",0,"1,463",,1,0,1,,118,0,118,0,0,125,529,113,No,-1,,"19,065","19,907",Annual Count,9,12,482,"Craft Holiday Kits, Halloween, Thanksgiving, Christmas, New Year, and St. Patrick's Day. Fall Reading Challenge, Winter Reading Challenge with Beanstack. ",CA0055,20-21
LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,(530) 257-8113,(530) 251-8127,http://www.lassenlibrary.org/,"4,557.00",Yes,Yes,No,No,Yes,No,No,No,"12,729","5,671",169,1,0,0,1,"12,000","$51,905 ","$87,570 ",$0 ,"$53,223 ","$192,698 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$144,165 ","$13,548 ","$157,713 ","$2,608 ",$0 ,"$2,608 ",$0 ,$0 ,"$2,608 ","$89,318 ","$249,639 ",$0 ,10,0,0.43,3.31,3.74,0,"13,186","3,021","42,858","2,333","2,378",0,"47,569",21,"26,970","8,782",287,0,1,1,820,"6,572",Annual Count,164,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,Yes,No,"3,604",42,0,0,0,"10,832","3,677",65,,"3,742","14,574",Yes,114,993,52,841,,52,2,50,,841,91,750,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,62,62,0,,152,152,0,,0,0,0,,0,0,0,2,91,50,-1,-1,No,802,Annual Count,"7,443",-1,Annual Count,15,10,538,Curbside arts/craft bags and books for Family Lit enrollees. Prerecorded instructions provided through QR code/link.,CA0195,20-21
