FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
16-17,SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,http://www.santacruzpl.org/,"223,269","141,916","12,712",1,9,1,10,"1,091,702","19,234",97,24,64.5,24,"$14,024,414 ","$13,706,409 ","$16,205 ","$2,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$299,400 ","$13,745,664 ","$1,431,498 ","$590,612 ","$90,952 ","$539,250 ","$210,684 ","$681,564 ","$6,250,567 ","$2,716,141 ","$8,966,708 ","$501,978 ","$3,347,458 ","116,606","12,465","30,346","26,408",971,"108,598",55,"351,997","31,262","6,557","61,965","135,790","1,433",267,"334,301","1,935",132,"2,392","36,418","38,809",739,-1,Yes,"138,342",124,"1,326,710",CA0127,"1,064"
16-17,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,http://www.sfslibrary.org,"18,291","36,679","11,537",1,0,0,2,"144,450","3,900",23,4,11.5,4,"$1,753,600 ","$1,669,416 ","$29,484 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$54,700 ","$1,753,600 ","$120,400 ","$54,400 ","$8,000 ","$43,000 ","$15,000 ","$62,400 ","$778,900 ","$694,000 ","$1,472,900 ",$0 ,"$160,300 ","24,116","2,427","3,343","7,842",118,"5,262",41,"61,426","3,034","3,347","5,756","1,245",25,35,"34,817","1,078",37,612,"24,287","27,034",130,"2,135",Yes,"21,926",31,,CA0128,911
16-17,SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,http://www.cityofsantamaria.org/library,"153,283","35,454","7,454",1,1,0,5,"355,736","8,216",64,7,34.68,6,"$3,488,906 ","$3,041,930 ","$32,661 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$409,315 ","$2,932,111 ","$202,280 ","$89,162 ","$11,674 ","$76,323 ","$25,121 ","$100,836 ","$1,374,430 ","$542,717 ","$1,917,147 ",$0 ,"$812,684 ","52,622","8,043","13,859","17,773",264,"104,331",11,"176,546","30,594","8,932","24,219","47,640","68,246","29,374","44,162",461,49,438,"8,583","10,088",55,"1,067",Yes,"61,896",76,"46,063",CA0129,357
16-17,SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,http://www.smpl.org,"93,834","69,969","4,371",1,4,0,5,"1,257,746","12,983",207,41.27,71.23,41.27,"$13,233,602 ","$12,756,502 ","$38,000 ","$41,500 ","$244,673 ",$0 ,$0 ,$0 ,"$244,673 ","$397,600 ","$12,486,902 ","$1,133,324 ","$538,877 ","$87,563 ","$327,749 ","$179,135 ","$626,440 ","$7,127,037 ","$2,724,116 ","$9,851,153 ","$119,726 ","$1,502,425 ","114,383","16,960","24,159","39,050",642,"220,957",27,"361,979","335,566","15,685","62,972","121,790","2,109",178,"131,058","2,284",185,"2,862","44,649","74,143",886,"26,632",No,"173,702",160,"960,649",CA0130,"1,213"
16-17,SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,http://www.sausalitolibrary.org,"7,327","4,846",276,1,0,0,1,"124,442","3,144",28,4,5,4,"$930,311 ","$888,653 ","$28,830 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,828 ","$930,311 ","$99,194 ","$69,400 ","$9,022 ","$8,638 ","$12,134 ","$78,422 ","$534,912 ","$171,794 ","$706,706 ",$0 ,"$124,411 ","8,991","1,223","2,603","4,031",126,"86,379",31,"45,718","7,211",176,404,"7,429","29,627","15,645","4,691",275,0,0,"7,379","10,171",89,"2,792",No,"14,924",8,"31,995",CA0132,186
16-17,SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,http://www.shastalibraries.org,"178,605","82,234","32,536",1,2,0,3,"1,296,126","6,656",33,5,18,4.5,"$2,260,349 ","$2,109,993 ","$53,929 ","$2,430 ","$84,900 ",$0 ,$0 ,$0 ,"$84,900 ","$93,997 ","$2,274,361 ","$247,558 ","$153,294 ","$8,959 ","$68,304 ","$17,001 ","$162,253 ",$0 ,$0 ,$0 ,"$95,247 ","$2,026,803 ","47,102","8,797","13,536","10,317",199,"8,380",13,"167,432",702,100,693,"18,596",0,0,"135,196",836,78,847,"17,152","20,878",274,"2,879",Yes,"79,746",90,"259,668",CA0133,484
16-17,SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,www.cityofsierramadre.com/departments/library,"11,010","11,574","2,403",1,0,0,1,"81,279","2,310",17,5,3.8,3.8,"$794,640 ","$740,340 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$54,300 ","$777,082 ","$103,755 ","$58,699 ","$7,171 ","$22,767 ","$15,118 ","$65,870 ","$462,749 ","$138,331 ","$601,080 ",$0 ,"$72,247 ","15,684","1,446","2,817","3,012",95,"9,773",8,"41,680","5,298",58,"1,603","3,710",38,77,"5,237",389,55,545,"10,994","12,697",47,"1,158",No,"6,871",8,,CA0134,287
16-17,SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 East Hill St.,SIGNAL HILL,90755,3632,http://www.cityofsignalhill.org/library,"11,609","9,591","2,740",1,0,0,1,"23,641","2,046",11,1,4,1,"$405,965 ","$405,965 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$405,965 ","$40,460 ","$30,000 ","$2,166 ",$0 ,"$8,294 ","$32,166 ","$243,420 ","$88,070 ","$331,490 ",$0 ,"$34,015 ","5,588","1,161",613,"1,877",45,0,0,"17,862",0,0,424,0,108,488,795,170,25,191,"4,011","4,634",24,432,Yes,"4,856",6,"3,416",CA0166,121
16-17,SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,www.simivalleylibrary.org,"127,309","37,860","6,154",1,0,0,1,"162,899","2,860",25,4,12,4,"$2,355,495 ","$2,286,500 ",$0 ,"$19,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$49,795 ","$2,145,889 ","$251,336 ","$102,323 ","$6,000 ","$121,116 ","$21,897 ","$108,323 ","$455,000 ",$0 ,"$455,000 ",$0 ,"$1,439,553 ","56,606","11,052","3,959","7,252",85,"2,476",21,"137,009",349,0,"2,187","5,462","25,913","44,877","10,180",735,49,776,"19,596","22,217",85,"1,845",Yes,"23,674",28,"145,636",CA0211,601
16-17,SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,http://www.siskiyoulibrary.info,"44,688","10,363","2,514",1,1,0,12,,"14,216",4,2,2,2,"$762,484 ","$565,937 ","$18,000 ",$0 ,"$30,269 ",$0 ,$0 ,"$50,000 ","$80,269 ","$178,547 ","$762,484 ","$106,249 ","$61,613 ",$0 ,"$19,068 ","$25,568 ","$61,613 ","$170,563 ","$119,931 ","$290,494 ","$80,269 ","$365,741 ","24,991","2,863","4,373","11,104",337,"5,412",7,"87,016","2,617",0,227,"3,322",215,9,,-4,-1,-1,-2,-4,-1,-1,Yes,"35,048",57,,CA0135,-2
16-17,SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,http://solanolibrary.com/,"379,992","121,125","9,724",0,8,0,8,"1,323,372","22,736",223,37.5,74.25,37.5,"$19,500,808 ","$18,990,224 ","$100,904 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$409,680 ","$17,609,704 ","$1,021,756 ","$444,672 ","$38,909 ","$218,916 ","$319,259 ","$483,581 ","$7,939,371 ","$4,079,072 ","$12,018,443 ",$0 ,"$4,569,505 ","193,008","31,334","48,517","90,130",900,"10,054",24,"433,320","7,869","2,930","28,026","62,446","72,859","62,864","153,447","3,651",347,"9,872","87,611","121,232","1,137","23,749",No,"284,851",316,"407,405",CA0136,"2,167"
16-17,SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,211 E STREET,SANTA ROSA,95404,4400,http://sonomalibrary.org,"505,120","262,570","53,758",1,11,0,15,"2,113,767","27,441",187,49.5,110.97,49.5,"$19,690,054 ","$18,967,726 ","$44,876 ","$27,000 ","$970,682 ",$0 ,$0 ,$0 ,"$970,682 ","$650,452 ","$18,777,366 ","$1,887,557 ","$805,021 ","$105,075 ","$428,886 ","$548,575 ","$910,096 ","$9,174,091 ","$4,190,259 ","$13,364,350 ","$970,682 ","$3,525,459 ","255,143","30,533","35,466","50,065","1,504","216,488",54,"686,049","52,982","32,565","80,830","302,035","121,567","156,487","186,108","3,964",425,"12,754","79,867","117,317",935,"24,696",No,"210,787",277,"2,265,715",CA0137,"2,604"
16-17,SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,www.southpasadenaca.gov/library,"25,992","39,894","4,759",1,0,0,1,"233,259","2,679",44,7.4,11.7,7.4,"$1,706,156 ","$1,706,156 ",$0 ,$0 ,"$54,600 ",$0 ,$0 ,$0 ,"$54,600 ",$0 ,"$1,668,120 ","$209,370 ","$134,246 ","$14,449 ","$37,795 ","$22,880 ","$148,695 ","$959,826 ","$293,184 ","$1,253,010 ",$0 ,"$205,740 ","44,483","5,942","11,801","10,514",221,"9,965",18,"118,375","6,139",30,"6,266","7,923",167,48,"14,282",472,6,275,"19,645","25,259",189,"5,339",No,"20,000",8,,CA0138,277
16-17,SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,http://www.ssf.net/library,"65,451","32,926","9,662",1,1,0,3,"423,815","6,180",105,13.46,26.1,13.46,"$5,323,928 ","$4,806,647 ","$138,266 ","$60,946 ","$713,817 ",$0 ,$0 ,$0 ,"$713,817 ","$318,069 ","$4,964,168 ","$399,859 ","$189,318 ","$13,632 ","$59,840 ","$137,069 ","$202,950 ","$2,236,208 ","$1,388,784 ","$3,624,992 ","$713,817 ","$939,317 ","37,024","3,794","12,012","24,103",209,"68,482",22,"91,015","6,283",0,"6,210","21,537","82,253","43,701","7,909","1,966",52,"1,769","47,680","56,617",691,"7,168",No,"59,941",129,,CA0139,"1,223"
16-17,ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,http://www.shpl.org/,"6,033","7,634","1,044",1,0,0,1,"110,245","2,254",13,3,5,2,"$1,028,931 ","$808,708 ","$5,303 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$214,920 ","$1,028,931 ","$107,489 ","$40,620 ","$5,167 ","$26,566 ","$35,136 ","$45,787 ","$494,057 ","$263,319 ","$757,376 ",$0 ,"$164,066 ","25,691","2,114","6,596","10,350",86,"5,659",25,"56,544","2,867",0,"7,812","3,674","33,429","18,459","11,842",702,0,0,"10,121","12,083",119,"1,962",No,"10,666",15,"38,215",CA0141,583
16-17,STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,http://stanislauslibrary.org,"548,057","424,013","36,275",1,5,0,13,"2,337,754","29,016",170,19,121.8,16,"$11,560,562 ","$10,686,868 ","$235,126 ","$4,207 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$634,361 ","$11,387,656 ","$789,530 ","$524,166 ","$5,732 ","$165,759 ","$93,873 ","$529,898 ","$4,945,941 ","$2,163,130 ","$7,109,071 ","$326,206 ","$3,489,055 ","257,996","30,315","15,793","32,320",373,"231,509",24,"561,335","323,681","33,810","42,515","106,600","2,120",806,"124,826","3,202",138,"1,040","89,209","94,986",402,"4,737",Yes,"173,798",139,"1,908,374",CA0140,"2,662"
16-17,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,http://www.ssjcpl.org,"682,810","190,049","36,140",1,12,1,14,"773,374","23,339",158,22,45,21,"$9,815,377 ","$9,360,508 ","$33,462 ",$0 ,"$741,039 ",$0 ,$0 ,$0 ,"$741,039 ","$421,407 ","$11,725,539 ","$1,073,500 ","$601,100 ","$58,900 ","$302,000 ","$111,500 ","$660,000 ","$4,157,216 ","$1,892,425 ","$6,049,641 ","$490,585 ","$4,602,398 ","287,805","45,392","28,454","42,163",718,"2,718",51,"718,393","1,254",0,"26,594","57,702","10,352","16,010","140,784","3,439",418,"3,364","72,148","83,066",614,"7,554",Yes,"150,695",217,"524,675",CA0142,"2,407"
16-17,SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,http://www.sunnyvalelibrary.org,"149,831","133,055","8,289",1,0,0,1,"683,739","3,292",89,19.44,32.04,18.44,"$8,781,795 ","$8,528,599 ","$3,360 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$249,836 ","$8,781,795 ","$853,291 ","$424,474 ","$16,920 ","$270,699 ","$141,198 ","$441,394 ","$2,740,638 ","$2,250,357 ","$4,990,995 ",$0 ,"$2,937,509 ","107,758","8,978","14,625","30,309",227,"294,255",47,"245,296","301,407","15,229","131,469","97,333","9,079","18,883","95,602",988,127,"3,526","38,850","53,657",374,"11,281",No,"77,208",55,"206,770",CA0143,487
16-17,SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,http://www.co.sutter.ca.us/doc/government/depts/library/library,"96,956","45,083","12,033",1,0,0,4,"510,003","4,136",15,1,11,1,"$1,403,327 ","$1,011,163 ","$39,482 ","$243,515 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$109,167 ","$1,403,329 ","$59,084 ","$45,824 ","$5,327 ","$5,293 ","$2,640 ","$51,151 ","$655,857 ","$345,250 ","$1,001,107 ",$0 ,"$343,138 ","38,336","3,951","1,001","3,779",89,"5,412",4,"113,427","2,617",0,782,"5,236","36,174","43,093","3,065","1,698",185,"1,628","18,800","60,548","1,205","40,120",Yes,"113,959",48,"29,154",CA0144,308
16-17,TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,645 MADISON ST.,RED BLUFF,96080,3383,http://www.tehamacountylibrary.org,"63,995","16,431","3,521",1,0,0,3,"97,668","2,874",8,3,4,1,"$577,657 ","$565,657 ","$12,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$465,599 ","$13,683 ","$9,683 ",$250 ,"$1,500 ","$2,250 ","$9,933 ","$277,882 ","$174,034 ","$451,916 ",$0 ,$0 ,"20,543","2,735","2,322","2,442",50,"75,742",2,"155,545","2,101",0,656,"2,890",90,267,"3,312",266,6,120,"5,638","8,152",72,"2,394",Yes,"8,284",21,"41,015",CA0145,188
16-17,THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2199,http://www.tolibrary.org,"131,457","142,377","10,380",1,1,0,2,"827,695","5,309",113,18.63,47.63,18.63,"$7,868,733 ","$7,694,501 ","$12,000 ",$0 ,"$814,825 ",$0 ,$0 ,$0 ,"$814,825 ","$162,232 ","$6,313,192 ","$726,888 ","$309,562 ","$89,046 ","$280,128 ","$48,152 ","$398,608 ","$3,264,876 ","$1,383,423 ","$4,648,299 ","$814,825 ","$938,005 ","145,979","15,413","18,069","34,429",395,"16,873",116,"343,814","7,281","3,050","11,623","63,251",318,378,"69,512",660,14,784,"23,770","30,554",300,"6,000",Yes,"100,531",73,"1,378,400",CA0169,346
16-17,TORRANCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,3301 TORRANCE BLVD.,TORRANCE,90503,5059,http://www.Library.TorranceCA.gov,"147,101","124,595","10,254",1,0,0,6,"690,104","13,980",110,22,51,21,"$7,802,827 ","$7,674,827 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$128,000 ","$7,802,826 ","$591,000 ","$325,000 ","$68,000 ","$90,000 ","$108,000 ","$393,000 ","$5,841,567 ",($1),"$5,841,566 ",$0 ,"$1,370,260 ","162,627","16,781","32,279","37,755",602,"3,799",15,"367,150",587,0,"44,914","14,438",423,461,"124,654","1,019",82,942,"32,836","39,544",262,"5,766",No,"86,957",80,"545,735",CA0146,675
16-17,TRINITY COUNTY FREE LIBRARY,Trinity,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,351 MAIN ST.,WEAVERVILLE,96093,1226,http://library.trinitycounty.org,"13,628","5,870","1,024",1,0,0,3,"29,775","2,006",6,1,2.05,1,"$330,075 ","$325,850 ","$4,225 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$319,794 ",$928 ,$0 ,$52 ,$876 ,$0 ,$52 ,"$126,394 ","$108,289 ","$234,683 ",$0 ,"$84,183 ","10,319",969,"1,813","4,694",42,"4,622",2,"36,824","2,267",0,0,"1,356",53,263,,52,0,0,798,798,0,0,Yes,-1,14,,CA0147,52
16-17,TULARE COUNTY FREE LIBRARY,Tulare,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,200 W. OAK AVE.,VISALIA,93291,4993,http://www.tularecountylibrary.org,"347,273","57,751","11,665",1,3,0,17,"306,592","23,972",50,10,35.8,9,"$4,229,902 ","$4,080,225 ","$60,271 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$89,406 ","$4,229,902 ","$338,550 ","$198,775 ","$22,399 ","$56,699 ","$60,677 ","$221,174 ","$1,610,734 ","$551,301 ","$2,162,035 ",$0 ,"$1,729,317 ","111,078","14,154","6,255","11,151",133,"19,502",41,"285,453","3,531",0,"11,179","39,016","49,378","67,600","45,084","3,017",133,741,"28,731","32,263",293,"2,791",Yes,"54,646",93,"590,700",CA0148,"2,591"
16-17,TULARE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,475 NORTH M STREET,TULARE,93274,3857,http://www.tularepubliclibrary.org,"64,661","29,307","8,030",1,0,0,1,"155,689","2,169",16,4,11,2,"$1,345,150 ","$1,325,350 ",$0 ,"$8,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,000 ","$1,187,011 ","$78,642 ","$27,616 ","$7,377 ","$21,704 ","$21,945 ","$34,993 ","$447,937 ","$283,118 ","$731,055 ",$0 ,"$377,314 ","22,731","4,867","9,798","6,776",93,"7,316",29,"103,542","1,629",131,"3,546","8,333","22,615","18,171","42,350",666,58,"1,115","6,903","14,563",320,"6,545",Yes,"28,807",30,"70,394",CA0149,288
16-17,TUOLUMNE COUNTY LIBRARY,Tuolumne,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,480 GREENLEY RD.,SONORA,95370,5956,http://www.tuolumnecounty.ca.gov/library,"54,707","33,400","4,459",1,0,1,4,"162,866","5,523",19,2,9.75,2,"$1,105,513 ","$1,039,378 ","$25,092 ",$0 ,"$4,364 ",$0 ,$0 ,$0 ,"$4,364 ","$41,043 ","$1,105,513 ","$90,731 ","$56,878 ","$12,877 ","$15,209 ","$5,767 ","$69,755 ","$518,234 ","$348,831 ","$867,065 ",$0 ,"$147,717 ","25,448","3,424","2,580","2,961",224,"1,777",6,"79,593",0,0,199,"4,921",641,689,"6,181",629,0,0,"10,738","11,707",131,969,Yes,"26,732",28,"16,803",CA0150,498
16-17,UPLAND PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,450 N. EUCLID AVE,UPLAND,91786,4732,http://www.uplandpl.lib.ca.us/#Library,"76,790","71,333","18,781",1,0,0,1,"250,458","2,608",19,4,14,4,"$1,185,000 ","$1,156,000 ","$29,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,123,500 ","$123,500 ","$80,100 ","$2,000 ","$41,400 ",$0 ,"$82,100 ",$0 ,$0 ,$0 ,$0 ,"$1,000,000 ","35,894","5,720","6,304","2,969",45,"9,937",10,"93,246","5,378",262,"2,847","5,971",0,0,"8,264",472,72,"1,309","6,633","10,993",152,"3,051",Yes,"29,050",19,,CA0151,248
16-17,VENTURA COUNTY LIBRARY,Ventura,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,5600 EVERGLADES ST. SUITE A,VENTURA,93003,6591,http://www.vencolibrary.org,"253,743","313,697","93,602",0,4,0,12,"701,546","21,164",76,14,46.88,14,"$8,127,260 ","$7,118,067 ","$191,803 ","$70,048 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$747,342 ","$8,238,681 ","$747,179 ","$347,402 ","$25,249 ","$289,262 ","$85,266 ","$372,651 ","$3,358,650 ","$1,675,612 ","$5,034,262 ","$69,066 ","$2,457,240 ","135,341","22,338","13,292","22,823",329,"176,747",46,"384,554","39,248","65,856","9,358","583,188",468,863,"80,245","4,935",151,"1,260","61,662","69,446",769,"6,524",No,"61,471",103,"1,593,453",CA0152,"4,015"
16-17,VERNON PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,4305 SANTA FE AVE.,VERNON,90058,805,,209,,,1,0,NA,1,,0,,NA,0,NA,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,0,,,,,,,,,0,,,0,0,,,,,0,,CA0162,0
16-17,VICTORVILLE CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,15011 CIRCLE DRIVE,VICTORVILLE,92395,3914,http://www.victorvilleca.gov/Site/CityDepartments2.aspx?id=148,"123,565","51,812","2,949",1,0,0,1,"204,099","3,100",14,1,9,1,"$715,999 ","$675,999 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ","$677,395 ","$105,292 ","$76,970 ","$3,596 ","$14,187 ","$10,539 ","$80,566 ","$388,360 ","$55,886 ","$444,246 ",$0 ,"$127,857 ","21,642","5,682","4,562","6,776",25,0,11,"64,242","4,535",0,"2,832","1,599","17,876","22,881","7,400",331,30,704,"7,709","9,402",91,989,No,"55,871",33,,CA0207,210
